row_threshold,minority_threshold,left_granularity,right_granularity,comparison,metric,left_adequate_targets,right_adequate_targets,paired_target_count,mean_paired_difference,median_paired_difference,wins,ties,losses,wilcoxon_statistic,wilcoxon_pvalue,all_target_mean_difference_sign,thresholded_mean_difference_sign,sign_stable_vs_all_targets,reporting_only_thresholds
100,20,commit,file,commit_vs_file,f1_1,16,15,15,0.3295248456,0.3272031508,15,0,0,0,6.103515625e-05,1,1,True,True
100,20,commit,file,commit_vs_file,mcc,16,15,15,0.3222433698,0.2996160554,15,0,0,0,6.103515625e-05,1,1,True,True
100,20,commit,method,commit_vs_method,f1_1,16,16,16,0.1575466888,0.1445281527,15,0,1,6,0.0004272460938,1,1,True,True
100,20,commit,method,commit_vs_method,mcc,16,16,16,0.2625129669,0.2955448551,16,0,0,0,3.051757812e-05,1,1,True,True
100,20,method,file,method_vs_file,f1_1,16,15,15,0.1708711185,0.1750180278,14,0,1,5,0.0006103515625,1,1,True,True
100,20,method,file,method_vs_file,mcc,16,15,15,0.04595724214,0.009054879174,8,0,7,37,0.2077636719,1,1,True,True
100,30,commit,file,commit_vs_file,f1_1,15,15,15,0.3295248456,0.3272031508,15,0,0,0,6.103515625e-05,1,1,True,True
100,30,commit,file,commit_vs_file,mcc,15,15,15,0.3222433698,0.2996160554,15,0,0,0,6.103515625e-05,1,1,True,True
100,30,commit,method,commit_vs_method,f1_1,15,16,15,0.1586537271,0.1481151897,14,0,1,6,0.0008544921875,1,1,True,True
100,30,commit,method,commit_vs_method,mcc,15,16,15,0.2762861277,0.3103250268,15,0,0,0,6.103515625e-05,1,1,True,True
100,30,method,file,method_vs_file,f1_1,16,15,15,0.1708711185,0.1750180278,14,0,1,5,0.0006103515625,1,1,True,True
100,30,method,file,method_vs_file,mcc,16,15,15,0.04595724214,0.009054879174,8,0,7,37,0.2077636719,1,1,True,True
100,50,commit,file,commit_vs_file,f1_1,15,14,14,0.3473480488,0.3279807794,14,0,0,0,0.0001220703125,1,1,True,True
100,50,commit,file,commit_vs_file,mcc,15,14,14,0.3248394998,0.3147672207,14,0,0,0,0.0001220703125,1,1,True,True
100,50,commit,method,commit_vs_method,f1_1,15,16,15,0.1586537271,0.1481151897,14,0,1,6,0.0008544921875,1,1,True,True
100,50,commit,method,commit_vs_method,mcc,15,16,15,0.2762861277,0.3103250268,15,0,0,0,6.103515625e-05,1,1,True,True
100,50,method,file,method_vs_file,f1_1,16,14,14,0.1799741576,0.1750353434,13,0,1,4,0.0008544921875,1,1,True,True
100,50,method,file,method_vs_file,mcc,16,14,14,0.0512913208,0.04470462548,8,0,6,29,0.1530761719,1,1,True,True
100,75,commit,file,commit_vs_file,f1_1,13,12,12,0.3415938251,0.3279807794,12,0,0,0,0.00048828125,1,1,True,True
100,75,commit,file,commit_vs_file,mcc,13,12,12,0.3073981745,0.2980523443,12,0,0,0,0.00048828125,1,1,True,True
100,75,commit,method,commit_vs_method,f1_1,13,15,13,0.1688553298,0.2007791739,12,0,1,5,0.00244140625,1,1,True,True
100,75,commit,method,commit_vs_method,mcc,13,15,13,0.2678895494,0.2807646835,13,0,0,0,0.000244140625,1,1,True,True
100,75,method,file,method_vs_file,f1_1,15,12,12,0.1607667443,0.137682581,11,0,1,4,0.00341796875,1,1,True,True
100,75,method,file,method_vs_file,mcc,15,12,12,0.03398191424,-0.002390757214,6,0,6,28,0.423828125,1,1,True,True
100,100,commit,file,commit_vs_file,f1_1,12,12,12,0.3415938251,0.3279807794,12,0,0,0,0.00048828125,1,1,True,True
100,100,commit,file,commit_vs_file,mcc,12,12,12,0.3073981745,0.2980523443,12,0,0,0,0.00048828125,1,1,True,True
100,100,commit,method,commit_vs_method,f1_1,12,15,12,0.1808270808,0.2169989396,11,0,1,4,0.00341796875,1,1,True,True
100,100,commit,method,commit_vs_method,mcc,12,15,12,0.2734162603,0.2955448551,12,0,0,0,0.00048828125,1,1,True,True
100,100,method,file,method_vs_file,f1_1,15,12,12,0.1607667443,0.137682581,11,0,1,4,0.00341796875,1,1,True,True
100,100,method,file,method_vs_file,mcc,15,12,12,0.03398191424,-0.002390757214,6,0,6,28,0.423828125,1,1,True,True
200,20,commit,file,commit_vs_file,f1_1,13,12,12,0.3415938251,0.3279807794,12,0,0,0,0.00048828125,1,1,True,True
200,20,commit,file,commit_vs_file,mcc,13,12,12,0.3073981745,0.2980523443,12,0,0,0,0.00048828125,1,1,True,True
200,20,commit,method,commit_vs_method,f1_1,13,15,13,0.1688553298,0.2007791739,12,0,1,5,0.00244140625,1,1,True,True
200,20,commit,method,commit_vs_method,mcc,13,15,13,0.2678895494,0.2807646835,13,0,0,0,0.000244140625,1,1,True,True
200,20,method,file,method_vs_file,f1_1,15,12,12,0.1607667443,0.137682581,11,0,1,4,0.00341796875,1,1,True,True
200,20,method,file,method_vs_file,mcc,15,12,12,0.03398191424,-0.002390757214,6,0,6,28,0.423828125,1,1,True,True
200,30,commit,file,commit_vs_file,f1_1,13,12,12,0.3415938251,0.3279807794,12,0,0,0,0.00048828125,1,1,True,True
200,30,commit,file,commit_vs_file,mcc,13,12,12,0.3073981745,0.2980523443,12,0,0,0,0.00048828125,1,1,True,True
200,30,commit,method,commit_vs_method,f1_1,13,15,13,0.1688553298,0.2007791739,12,0,1,5,0.00244140625,1,1,True,True
200,30,commit,method,commit_vs_method,mcc,13,15,13,0.2678895494,0.2807646835,13,0,0,0,0.000244140625,1,1,True,True
200,30,method,file,method_vs_file,f1_1,15,12,12,0.1607667443,0.137682581,11,0,1,4,0.00341796875,1,1,True,True
200,30,method,file,method_vs_file,mcc,15,12,12,0.03398191424,-0.002390757214,6,0,6,28,0.423828125,1,1,True,True
200,50,commit,file,commit_vs_file,f1_1,13,12,12,0.3415938251,0.3279807794,12,0,0,0,0.00048828125,1,1,True,True
200,50,commit,file,commit_vs_file,mcc,13,12,12,0.3073981745,0.2980523443,12,0,0,0,0.00048828125,1,1,True,True
200,50,commit,method,commit_vs_method,f1_1,13,15,13,0.1688553298,0.2007791739,12,0,1,5,0.00244140625,1,1,True,True
200,50,commit,method,commit_vs_method,mcc,13,15,13,0.2678895494,0.2807646835,13,0,0,0,0.000244140625,1,1,True,True
200,50,method,file,method_vs_file,f1_1,15,12,12,0.1607667443,0.137682581,11,0,1,4,0.00341796875,1,1,True,True
200,50,method,file,method_vs_file,mcc,15,12,12,0.03398191424,-0.002390757214,6,0,6,28,0.423828125,1,1,True,True
200,75,commit,file,commit_vs_file,f1_1,13,12,12,0.3415938251,0.3279807794,12,0,0,0,0.00048828125,1,1,True,True
200,75,commit,file,commit_vs_file,mcc,13,12,12,0.3073981745,0.2980523443,12,0,0,0,0.00048828125,1,1,True,True
200,75,commit,method,commit_vs_method,f1_1,13,15,13,0.1688553298,0.2007791739,12,0,1,5,0.00244140625,1,1,True,True
200,75,commit,method,commit_vs_method,mcc,13,15,13,0.2678895494,0.2807646835,13,0,0,0,0.000244140625,1,1,True,True
200,75,method,file,method_vs_file,f1_1,15,12,12,0.1607667443,0.137682581,11,0,1,4,0.00341796875,1,1,True,True
200,75,method,file,method_vs_file,mcc,15,12,12,0.03398191424,-0.002390757214,6,0,6,28,0.423828125,1,1,True,True
200,100,commit,file,commit_vs_file,f1_1,12,12,12,0.3415938251,0.3279807794,12,0,0,0,0.00048828125,1,1,True,True
200,100,commit,file,commit_vs_file,mcc,12,12,12,0.3073981745,0.2980523443,12,0,0,0,0.00048828125,1,1,True,True
200,100,commit,method,commit_vs_method,f1_1,12,15,12,0.1808270808,0.2169989396,11,0,1,4,0.00341796875,1,1,True,True
200,100,commit,method,commit_vs_method,mcc,12,15,12,0.2734162603,0.2955448551,12,0,0,0,0.00048828125,1,1,True,True
200,100,method,file,method_vs_file,f1_1,15,12,12,0.1607667443,0.137682581,11,0,1,4,0.00341796875,1,1,True,True
200,100,method,file,method_vs_file,mcc,15,12,12,0.03398191424,-0.002390757214,6,0,6,28,0.423828125,1,1,True,True
500,20,commit,file,commit_vs_file,f1_1,9,10,9,0.3467113234,0.3287584079,9,0,0,0,0.00390625,1,1,True,True
500,20,commit,file,commit_vs_file,mcc,9,10,9,0.3249460968,0.329918386,9,0,0,0,0.00390625,1,1,True,True
