granularity,target_project,model_name,best_params,source_conflict_identity_keys,source_conflict_rows_removed,target_conflict_identity_keys,target_conflict_rows_removed,cleaned_source_rows,cleaned_target_rows,posthoc_benchmark_cleaning_sensitivity,identity_definition,original_full_f1_1,original_model_retained_test_f1_1,conflict_cleaned_f1_1,cleaned_minus_original_full_f1_1,cleaned_minus_original_retained_test_f1_1,original_full_mcc,original_model_retained_test_mcc,conflict_cleaned_mcc,cleaned_minus_original_full_mcc,cleaned_minus_original_retained_test_mcc,original_full_auc,original_model_retained_test_auc,conflict_cleaned_auc,cleaned_minus_original_full_auc,cleaned_minus_original_retained_test_auc,original_full_pr_auc,original_model_retained_test_pr_auc,conflict_cleaned_pr_auc,cleaned_minus_original_full_pr_auc,cleaned_minus_original_retained_test_pr_auc
commit,caddy,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3186,6372,58,116,20988,577,True,sha,0.7038961039,0.7400611621,0.7469512195,0.04305511562,0.006890057433,0.3366701549,0.4045054503,0.4175672501,0.08089709523,0.01306179982,0.7463789157,0.7840759014,0.7843811517,0.038002236,0.0003052503053,0.823157026,0.8574352008,0.859185988,0.03602896202,0.001750787141
commit,compose,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3242,6484,2,4,21438,127,True,sha,0.7643979058,0.7700534759,0.7789473684,0.01454946266,0.008893892485,0.1904107053,0.1937537843,0.1742169868,-0.0161937185,-0.01953679747,0.6515700483,0.6574573226,0.6682389937,0.0166689454,0.01078167116,0.8914414397,0.8998165705,0.9072879864,0.01584654668,0.007471415837
commit,consul,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3241,6482,3,6,21387,178,True,sha,0.8444444444,0.8517110266,0.8377358491,-0.006708595388,-0.01397517756,0.4168708061,0.4329776387,0.3668644775,-0.05000632866,-0.06611316126,0.783945157,0.7953525641,0.7930288462,0.009083689144,-0.002323717949,0.9018985025,0.9109385552,0.919578413,0.01767991057,0.008639857815
commit,fiber,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3193,6386,51,102,21179,386,True,sha,0.6816608997,0.7176220807,0.7265135699,0.04485267028,0.008891489258,0.2308216887,0.3001878852,0.2969908792,0.06616919056,-0.003197005955,0.6682965472,0.7195402299,0.7205210728,0.05222452559,0.0009808429119,0.7861899835,0.8544877196,0.8478954539,0.06170547047,-0.006592265695
commit,gin,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",3231,6462,13,26,21449,116,True,sha,0.608,0.6538461538,0.641509434,0.03350943396,-0.01233671988,0.3758439393,0.4591539981,0.4117028085,0.03585886927,-0.04745118958,0.7303596544,0.7827272727,0.7765151515,0.0461554971,-0.006212121212,0.7817068863,0.8486037063,0.8431573525,0.06145046626,-0.005446353738
commit,gitea,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",1740,3480,1504,3008,14631,6934,True,sha,0.6607401282,0.729622871,0.7313366115,0.07059648335,0.001713740487,0.3449048275,0.4953126581,0.4941072916,0.1492024641,-0.00120536654,0.7377835354,0.8337448269,0.838751699,0.1009681635,0.005006872053,0.7045518952,0.8118208344,0.8141141257,0.1095622305,0.002293291331
commit,grafana,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",2839,5678,405,810,17019,4546,True,sha,0.7910738356,0.8297213622,0.8320110383,0.04093720273,0.00228967606,0.4458316258,0.5278436841,0.5363708978,0.09053927204,0.008527213723,0.7983198787,0.8419766604,0.8468822534,0.04856237474,0.004905593092,0.8532944564,0.8913123616,0.8954422379,0.04214778152,0.004129876335
commit,influxdb,random_forest,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3208,6416,36,72,20984,581,True,sha,0.7789473684,0.8015564202,0.8047182176,0.02577084914,0.003161797329,0.3605083604,0.4102570764,0.4315301593,0.07102179898,0.02127308293,0.7850868212,0.8173668169,0.8218526372,0.03676581596,0.004485820302,0.8755425429,0.9024419737,0.9019563787,0.02641383576,-0.0004855950028
commit,kubernetes,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",3243,6486,1,2,21068,497,True,sha,0.8596713021,0.8607594937,0.8680203046,0.008349002419,0.007260810898,0.3251572478,0.3235735546,0.3647145757,0.03955732788,0.04114102111,0.8289203085,0.8295422302,0.8310436962,0.002123387724,0.001501465998,0.9491019283,0.9495539497,0.9490264959,-7.543246061e-05,-0.0005274538746
commit,minio,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",2760,5520,484,968,19240,2325,True,sha,0.7577134657,0.8337000943,0.8339646465,0.07625118079,0.0002645521547,0.3414641189,0.4908015271,0.4982963001,0.1568321811,0.007494772965,0.7438118035,0.8495747223,0.8509172583,0.1071054548,0.001342536065,0.8450506886,0.9393288804,0.9396345356,0.09458384698,0.0003056551351
