granularity,go_specific_feature,generic_feature,valid_project_correlations,median_rho_across_projects,median_absolute_rho_across_projects,minimum_rho_across_projects,maximum_rho_across_projects,descriptive_only
file,channel_count,authors_count,14,0.03620069635,0.05397397934,-0.06310806471,0.327551261,True
file,channel_count,avg_method_complexity,15,0.04681642115,0.05217517857,-0.08234976471,0.1841654126,True
file,channel_count,avg_method_param_count,15,-0.03200859463,0.06435327337,-0.3788365137,0.1229318903,True
file,channel_count,avg_methods_token_count,15,0.001102433267,0.07009190441,-0.1213076082,0.169719097,True
file,channel_count,comment_ratio,15,-0.01433344157,0.1175861811,-0.2727877956,0.3387535684,True
file,channel_count,commit_count,14,0.05612375393,0.07119883616,-0.0827688842,0.2895251278,True
file,channel_count,complexity,15,0.1525053542,0.1525053542,-0.03757824067,0.5866878497,True
file,channel_count,cyclo_per_loc,15,0.05994597355,0.05994597355,-0.0464091147,0.2146991166,True
file,channel_count,import_count,15,0.1657282842,0.1657282842,-0.003460367225,0.5284404557,True
file,channel_count,interface_count,15,0.1072778463,0.1138946389,-0.1138946389,0.2328856589,True
file,channel_count,loop_count,15,0.1492797056,0.2337147839,-0.2358983011,0.5089960064,True
file,channel_count,method_count,15,0.1470576435,0.1470576435,-0.02350054467,0.5637214974,True
file,channel_count,nloc,15,0.1598726202,0.1598726202,-0.108857283,0.4233032945,True
file,channel_count,struct_count,15,0.1464841785,0.1486943744,-0.2150971274,0.4617151079,True
file,channel_count,token_count,15,0.1508261294,0.1508261294,-0.109521519,0.4294051868,True
file,channel_count,variadic_function_count,15,0.01825909875,0.05678204152,-0.1144123443,0.2821855121,True
file,context_usage_count,authors_count,14,0.1630752724,0.1809493495,-0.2826449146,0.5186551333,True
file,context_usage_count,avg_method_complexity,15,0.1598846868,0.1764686082,-0.2047785355,0.4754275987,True
file,context_usage_count,avg_method_param_count,15,0.2356899977,0.2356899977,-0.1088685703,0.472193859,True
file,context_usage_count,avg_methods_token_count,15,0.07748889002,0.1209711635,-0.1783129341,0.5128772065,True
file,context_usage_count,comment_ratio,15,-0.09532535603,0.157501194,-0.3352393956,0.1980476658,True
file,context_usage_count,commit_count,14,0.1715350643,0.237343817,-0.2959808978,0.5196643263,True
file,context_usage_count,complexity,15,0.2698789545,0.2698789545,-0.103672557,0.6042109448,True
file,context_usage_count,cyclo_per_loc,15,0.05398907229,0.1049033113,-0.2389743512,0.3122805333,True
file,context_usage_count,import_count,15,0.3691032403,0.3691032403,0.05231711773,0.6402625751,True
file,context_usage_count,interface_count,15,0.1269101985,0.1269101985,-0.06999434768,0.3333524697,True
file,context_usage_count,loop_count,15,0.1763495685,0.1763495685,-0.109249844,0.622144736,True
file,context_usage_count,method_count,15,0.2223022167,0.2223022167,0.03657746319,0.6643794522,True
file,context_usage_count,nloc,15,0.2824000824,0.2824000824,-0.02237780928,0.7110857585,True
file,context_usage_count,struct_count,15,0.177835789,0.177835789,-0.04439688023,0.6250885882,True
file,context_usage_count,token_count,15,0.3124169703,0.3124169703,-0.003258922431,0.707786337,True
file,context_usage_count,variadic_function_count,15,0.07043038131,0.08083667635,-0.1582984436,0.551387817,True
file,defer_count,authors_count,15,0.2995141382,0.2995141382,0.0552110015,0.6826041692,True
file,defer_count,avg_method_complexity,16,0.1577430266,0.1817390941,-0.1812216543,0.4073591847,True
file,defer_count,avg_method_param_count,16,0.1083977725,0.1543058932,-0.3049634128,0.3433258262,True
file,defer_count,avg_methods_token_count,16,0.1397102196,0.1397102196,-0.05964396615,0.4383389152,True
file,defer_count,comment_ratio,16,0.09743370591,0.1200677927,-0.4191220078,0.4954708926,True
