granularity,go_specific_feature,modeled_rows,missing_fraction,zero_fraction_among_observed,nonzero_fraction_among_observed,median_project_nonzero_fraction,projects_with_any_nonzero,project_count,descriptive_only
file,channel_count,41156,0,0.900913597,0.09908640295,0.07728672286,15,16,True
file,context_usage_count,41156,0,0.643964428,0.356035572,0.2611013827,15,16,True
file,defer_count,41156,0,0.5772669842,0.4227330158,0.3815041168,16,16,True
file,error_handling_count,41156,0,0.1779813393,0.8220186607,0.8158613445,16,16,True
file,goroutine_count,41156,0,0.8480415978,0.1519584022,0.1435245891,15,16,True
file,json_tag_count,41156,0,0.8532170279,0.1467829721,0.0941179764,16,16,True
file,pointer_receiver_count,41156,0,0.4494119934,0.5505880066,0.7183499121,16,16,True
method,channel_count,128027,0,0.9871589587,0.01284104134,0.01162911614,16,16,True
method,defer_count,128027,0,0.8642083311,0.1357916689,0.1084762609,16,16,True
method,error_handling_count,128027,0,0.5493138166,0.4506861834,0.4725916743,16,16,True
method,goroutine_count,128027,0,0.9644762433,0.03552375671,0.03066458446,15,16,True
