granularity,target_project,model_name,best_params,harmonized_features,source_feature_mapping,fixed_family_and_hyperparameters,partial_feature_family_harmonization_only,remaining_confounds,original_f1_1,harmonized_f1_1,harmonized_minus_original_f1_1,original_mcc,harmonized_mcc,harmonized_minus_original_mcc,original_auc,harmonized_auc,harmonized_minus_original_auc,original_pr_auc,harmonized_pr_auc,harmonized_minus_original_pr_auc
commit,caddy,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.7038961039,0.6118598383,-0.09203626562,0.3366701549,0.1735090606,-0.1631610943,0.7463789157,0.6112202371,-0.1351586786,0.823157026,0.6807149643,-0.1424420616
commit,compose,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.7643979058,0.6395348837,-0.124863022,0.1904107053,0.08977686509,-0.1006338402,0.6515700483,0.569041868,-0.08252818035,0.8914414397,0.8571565875,-0.03428485217
commit,consul,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.8444444444,0.75,-0.09444444444,0.4168708061,0.04314016028,-0.3737306458,0.783945157,0.6088014153,-0.1751437417,0.9018985025,0.8269826347,-0.07491586779
commit,fiber,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.6816608997,0.6174496644,-0.06421123522,0.2308216887,0.02099151665,-0.209830172,0.6682965472,0.5311225233,-0.1371740239,0.7861899835,0.6655848954,-0.1206050881
commit,gin,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.608,0.350877193,-0.257122807,0.3758439393,0.01737206845,-0.3584718708,0.7303596544,0.5334538879,-0.1969057665,0.7817068863,0.625601679,-0.1561052072
commit,gitea,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.6607401282,0.6028381534,-0.05790197477,0.3449048275,0.1498224045,-0.195082423,0.7377835354,0.6249997143,-0.1127838211,0.7045518952,0.5989506061,-0.1056012892
commit,grafana,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.7910738356,0.6713446475,-0.119729188,0.4458316258,0.2412548603,-0.2045767654,0.7983198787,0.6595120335,-0.1388078452,0.8532944564,0.7535705402,-0.09972391621
commit,influxdb,random_forest,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.7789473684,0.7317073171,-0.04724005135,0.3605083604,0.2137953738,-0.1467129866,0.7850868212,0.641263617,-0.1438232042,0.8755425429,0.7402529522,-0.1352895908
commit,kubernetes,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.8596713021,0.7859078591,-0.07376344307,0.3251572478,0.1890797511,-0.1360774968,0.8289203085,0.6568590792,-0.1720612293,0.9491019283,0.8717690633,-0.07733286504
commit,minio,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.7577134657,0.7357888014,-0.02192466432,0.3414641189,0.09249646243,-0.2489676565,0.7438118035,0.5899088386,-0.1539029649,0.8450506886,0.7382403126,-0.106810376
commit,nomad,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.8270401949,0.7672571778,-0.05978301712,0.3339911297,0.1115518929,-0.2224392368,0.7784764787,0.6090884814,-0.1693879973,0.9059094604,0.8104668845,-0.09544257594
