granularity,project,positive_rows,negative_rows,total_rows,positive_unique_shas,negative_unique_shas,all_unique_shas,positive_rows_per_positive_sha,cross_label_sha_conflicts,cross_label_identity_conflicts,positive_conflict_rows,negative_conflict_rows,raw_conflict_rows,modeled_conflict_rows,missing_method_names_positive,missing_method_names_negative,exact_exported_row_duplicates_removed,modeled_rows_after_exact_duplicate_removal,identity_key_definition,duplicate_definition
commit,ALL,16018,12035,28053,16018,12035,24809,1,3244,3244,3244,3244,6488,6488,0,0,0,28053,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,caddy,401,292,693,401,292,635,1,58,58,58,58,116,116,0,0,0,693,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,compose,108,23,131,108,23,129,1,2,2,2,2,4,4,0,0,0,131,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,consul,133,51,184,133,51,181,1,3,3,3,3,6,6,0,0,0,184,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,fiber,312,176,488,312,176,437,1,51,51,51,51,102,102,0,0,0,488,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,gin,79,63,142,79,63,129,1,13,13,13,13,26,26,0,0,0,142,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,gitea,4516,5426,9942,4516,5426,8438,1,1504,1504,1504,1504,3008,3008,0,0,0,9942,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,grafana,3292,2064,5356,3292,2064,4951,1,405,405,405,405,810,810,0,0,0,5356,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,influxdb,421,232,653,421,232,617,1,36,36,36,36,72,72,0,0,0,653,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,kubernetes,389,110,499,389,110,498,1,1,1,1,1,2,2,0,0,0,499,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,minio,2185,1108,3293,2185,1108,2809,1,484,484,484,484,968,968,0,0,0,3293,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,nomad,822,287,1109,822,287,1058,1,51,51,51,51,102,102,0,0,0,1109,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,packer,324,139,463,324,139,449,1,14,14,14,14,28,28,0,0,0,463,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,rclone,147,75,222,147,75,215,1,7,7,7,7,14,14,0,0,0,222,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,terraform,1118,747,1865,1118,747,1768,1,97,97,97,97,194,194,0,0,0,1865,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,traefik,1298,1033,2331,1298,1033,1837,1,494,494,494,494,988,988,0,0,0,2331,sha,exact exported-row duplicates only; no metric-tuple deduplication
commit,vault,473,209,682,473,209,658,1,24,24,24,24,48,48,0,0,0,682,sha,exact exported-row duplicates only; no metric-tuple deduplication
file,ALL,17726,29235,46961,6382,10887,15816,2.777499217,1453,2338,3217,2338,5555,4676,0,0,5805,41156,project/file_path/sha,exact exported-row duplicates only; no metric-tuple deduplication
file,caddy,291,434,725,211,292,476,1.379146919,27,29,31,29,60,58,0,0,32,693,project/file_path/sha,exact exported-row duplicates only; no metric-tuple deduplication
file,compose,32,51,83,26,23,48,1.230769231,1,1,1,1,2,2,0,0,3,80,project/file_path/sha,exact exported-row duplicates only; no metric-tuple deduplication
file,consul,64,95,159,49,51,100,1.306122449,0,0,0,0,0,0,0,0,6,153,project/file_path/sha,exact exported-row duplicates only; no metric-tuple deduplication
file,fiber,257,456,713,133,176,282,1.932330827,27,40,44,40,84,80,0,0,37,676,project/file_path/sha,exact exported-row duplicates only; no metric-tuple deduplication
file,gin,50,73,123,43,63,98,1.162790698,8,8,10,8,18,16,0,0,4,119,project/file_path/sha,exact exported-row duplicates only; no metric-tuple deduplication
file,gitea,8654,14268,22922,2311,5423,6998,3.744699264,736,1055,1691,1055,2746,2110,0,0,3731,19191,project/file_path/sha,exact exported-row duplicates only; no metric-tuple deduplication
file,grafana,1376,2010,3386,555,919,1409,2.479279279,65,70,113,70,183,140,0,0,615,2771,project/file_path/sha,exact exported-row duplicates only; no metric-tuple deduplication
file,influxdb,324,463,787,158,232,371,2.050632911,19,21,22,21,43,42,0,0,129,658,project/file_path/sha,exact exported-row duplicates only; no metric-tuple deduplication
file,kubernetes,164,258,422,98,109,206,1.673469388,1,1,1,1,2,2,0,0,15,407,project/file_path/sha,exact exported-row duplicates only; no metric-tuple deduplication
