granularity,target_project,model_name,best_params,source_rows,target_rows,verification_tolerance,recorded_f1_1,replayed_f1_1,difference_f1_1,recorded_mcc,replayed_mcc,difference_mcc,recorded_auc,replayed_auc,difference_auc,recorded_pr_auc,replayed_pr_auc,difference_pr_auc,maximum_absolute_metric_difference,verified
commit,caddy,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",27360,693,1e-10,0.7038961039,0.7038961039,0,0.3366701549,0.3366701549,0,0.7463789157,0.7463789157,0,0.823157026,0.823157026,0,0,True
commit,compose,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",27922,131,1e-10,0.7643979058,0.7643979058,0,0.1904107053,0.1904107053,2.775557562e-17,0.6515700483,0.6515700483,0,0.8914414397,0.8914414397,0,2.775557562e-17,True
commit,consul,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",27869,184,1e-10,0.8444444444,0.8444444444,0,0.4168708061,0.4168708061,5.551115123e-17,0.783945157,0.783945157,0,0.9018985025,0.9018985025,1.110223025e-16,1.110223025e-16,True
commit,fiber,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",27565,488,1e-10,0.6816608997,0.6816608997,0,0.2308216887,0.2308216887,5.551115123e-17,0.6682965472,0.6682965472,0,0.7861899835,0.7861899835,0,5.551115123e-17,True
commit,gin,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",27911,142,1e-10,0.608,0.608,0,0.3758439393,0.3758439393,5.551115123e-17,0.7303596544,0.7303596544,0,0.7817068863,0.7817068863,0,5.551115123e-17,True
commit,gitea,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",18111,9942,1e-10,0.6607401282,0.6607401282,0,0.3449048275,0.3449048275,0,0.7377835354,0.7377835354,0,0.7045518952,0.7045518952,0,0,True
commit,grafana,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",22697,5356,1e-10,0.7910738356,0.7910738356,0,0.4458316258,0.4458316258,0,0.7983198787,0.7983198787,0,0.8532944564,0.8532944564,0,0,True
commit,influxdb,random_forest,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",27400,653,1e-10,0.7789473684,0.7789473684,0,0.3605083604,0.3605083604,0,0.7850868212,0.7850868212,0,0.8755425429,0.8755425429,0,0,True
commit,kubernetes,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",27554,499,1e-10,0.8596713021,0.8596713021,0,0.3251572478,0.3251572478,0,0.8289203085,0.8289203085,0,0.9491019283,0.9491019283,0,0,True
commit,minio,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",24760,3293,1e-10,0.7577134657,0.7577134657,0,0.3414641189,0.3414641189,5.551115123e-17,0.7438118035,0.7438118035,0,0.8450506886,0.8450506886,0,5.551115123e-17,True
commit,nomad,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",26944,1109,1e-10,0.8270401949,0.8270401949,0,0.3339911297,0.3339911297,0,0.7784764787,0.7784764787,0,0.9059094604,0.9059094604,0,0,True
commit,packer,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",27590,463,1e-10,0.8018867925,0.8018867925,0,0.3685660029,0.3685660029,5.551115123e-17,0.787569944,0.787569944,0,0.9014924367,0.9014924367,1.110223025e-16,1.110223025e-16,True
commit,rclone,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",27831,222,1e-10,0.7944250871,0.7944250871,0,0.4202591955,0.4202591955,0,0.8216326531,0.8216326531,0,0.9115254292,0.9115254292,0,0,True
commit,terraform,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",26188,1865,1e-10,0.7627039627,0.7627039627,0,0.4451383889,0.4451383889,5.551115123e-17,0.8073265034,0.8073265034,0,0.8733196546,0.8733196546,0,5.551115123e-17,True
commit,traefik,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",25722,2331,1e-10,0.7131386861,0.7131386861,0,0.3094232511,0.3094232511,0,0.7164570707,0.7164570707,0,0.7486073195,0.7486073195,0,0,True
commit,vault,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",27371,682,1e-10,0.8398791541,0.8398791541,0,0.4211654077,0.4211654077,0,0.8236341382,0.8236341382,0,0.9122313782,0.9122313782,0,0,True
file,caddy,logistic_regression,"{""model__C"": 0.1}",40463,693,1e-10,0.1823529412,0.1823529412,8.326672685e-17,0.006751768905,0.006751768905,6.765421556e-17,0.5233572941,0.5233572941,0,0.3883608819,0.3883608819,0,8.326672685e-17,True
file,compose,logistic_regression,"{""model__C"": 10.0}",41076,80,1e-10,0.5208333333,0.5208333333,0,0.05022057619,0.05022057619,9.714451465e-17,0.5402298851,0.5402298851,0,0.4471918764,0.4471918764,0,9.714451465e-17,True
file,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",41003,153,1e-10,0.5212765957,0.5212765957,0,-0.0105939291,-0.0105939291,-3.469446952e-17,0.5709618875,0.5709618875,0,0.4675748443,0.4675748443,0,3.469446952e-17,True
file,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",40480,676,1e-10,0.4763061968,0.4763061968,5.551115123e-17,-0.002467913878,-0.002467913878,-6.938893904e-18,0.5003289474,0.5003289474,0,0.3180298654,0.3180298654,5.551115123e-17,5.551115123e-17,True
file,gin,logistic_regression,"{""model__C"": 1.0}",41037,119,1e-10,0.528,0.528,0,0.08994638907,0.08994638907,5.551115123e-17,0.6051220965,0.6051220965,0,0.5208534016,0.5208534016,0,5.551115123e-17,True
file,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",21965,19191,1e-10,0.3799914126,0.3799914126,5.551115123e-17,0.00614864137,0.00614864137,7.112366252e-17,0.5111678711,0.5111678711,0,0.263358631,0.263358631,0,7.112366252e-17,True
file,grafana,logistic_regression,"{""model__C"": 0.1}",38385,2771,1e-10,0.4128514056,0.4128514056,5.551115123e-17,0.06537445499,0.06537445499,8.326672685e-17,0.5511699061,0.5511699061,0,0.3056270726,0.3056270726,5.551115123e-17,8.326672685e-17,True
file,influxdb,logistic_regression,"{""model__C"": 1.0}",40498,658,1e-10,0.4255319149,0.4255319149,0,0.07139014006,0.07139014006,4.163336342e-17,0.5477930996,0.5477930996,0,0.3268229523,0.3268229523,0,4.163336342e-17,True
file,kubernetes,logistic_regression,"{""model__C"": 0.1}",40749,407,1e-10,0.3956834532,0.3956834532,5.551115123e-17,0.08521503653,0.08521503653,2.775557562e-17,0.5561365174,0.5561365174,0,0.4081822889,0.4081822889,0,5.551115123e-17,True
file,minio,logistic_regression,"{""model__C"": 1.0}",36731,4425,1e-10,0.4305103149,0.4305103149,5.551115123e-17,0.04184806355,0.04184806355,7.632783294e-17,0.523417461,0.523417461,0,0.3576682786,0.3576682786,0,7.632783294e-17,True
file,nomad,logistic_regression,"{""model__C"": 10.0}",39964,1192,1e-10,0.4982817869,0.4982817869,5.551115123e-17,0.07651032759,0.07651032759,1.387778781e-17,0.535848262,0.535848262,0,0.3842030467,0.3842030467,5.551115123e-17,5.551115123e-17,True
file,packer,logistic_regression,"{""model__C"": 0.1}",40675,481,1e-10,0.4925053533,0.4925053533,0,0.07753459337,0.07753459337,1.387778781e-17,0.5448552754,0.5448552754,0,0.3790872612,0.3790872612,0,1.387778781e-17,True
file,rclone,logistic_regression,"{""model__C"": 0.1}",40978,178,1e-10,0.3538461538,0.3538461538,5.551115123e-17,-0.0112509722,-0.0112509722,-3.295974604e-17,0.4888626834,0.4888626834,0,0.4015078701,0.4015078701,5.551115123e-17,5.551115123e-17,True
file,terraform,logistic_regression,"{""model__C"": 10.0}",38786,2370,1e-10,0.5023060797,0.5023060797,0,0.09043638999,0.09043638999,1.387778781e-17,0.563256592,0.563256592,0,0.3913792397,0.3913792397,0,1.387778781e-17,True
file,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",34359,6797,1e-10,0.4273697426,0.4273697426,0,0.01293461795,0.01293461795,8.500145032e-17,0.5334005911,0.5334005911,0,0.2980944209,0.2980944209,5.551115123e-17,8.500145032e-17,True
file,vault,naive_bayes,"{""model__var_smoothing"": 1e-09}",40191,965,1e-10,0.4555353902,0.4555353902,0,0.04318798926,0.04318798926,2.081668171e-17,0.5791034483,0.5791034483,0,0.3650542704,0.3650542704,0,2.081668171e-17,True
method,caddy,naive_bayes,"{""model__var_smoothing"": 1e-09}",126560,1467,1e-10,0.658084449,0.658084449,0,0.1250209044,0.1250209044,0,0.5757478319,0.5757478319,0,0.552832128,0.552832128,0,0,True
method,compose,naive_bayes,"{""model__var_smoothing"": 1e-09}",127756,271,1e-10,0.6234567901,0.6234567901,0,0.134495151,0.134495151,2.775557562e-17,0.609864614,0.609864614,0,0.5881762759,0.5881762759,0,2.775557562e-17,True
method,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",127391,636,1e-10,0.6963292547,0.6963292547,0,0.06976044268,0.06976044268,4.163336342e-17,0.5882447665,0.5882447665,0,0.6502176057,0.6502176057,0,4.163336342e-17,True
method,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",126019,2008,1e-10,0.7413127413,0.7413127413,0,0.08174268599,0.08174268599,4.163336342e-17,0.5940333105,0.5940333105,0,0.6529819899,0.6529819899,0,4.163336342e-17,True
method,gin,naive_bayes,"{""model__var_smoothing"": 1e-09}",127851,176,1e-10,0.5714285714,0.5714285714,0,0.06122652986,0.06122652986,2.081668171e-17,0.4897168803,0.4897168803,0,0.394948396,0.394948396,5.551115123e-17,5.551115123e-17,True
method,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",73890,54137,1e-10,0.5550094405,0.5550094405,0,0.1186647882,0.1186647882,6.938893904e-17,0.5194773413,0.5194773413,0,0.378234595,0.378234595,5.551115123e-17,6.938893904e-17,True
method,grafana,naive_bayes,"{""model__var_smoothing"": 1e-09}",116261,11766,1e-10,0.5131985397,0.5131985397,0,0.07442933416,0.07442933416,6.938893904e-17,0.5842776497,0.5842776497,0,0.4023237361,0.4023237361,0,6.938893904e-17,True
method,influxdb,naive_bayes,"{""model__var_smoothing"": 1e-09}",125176,2851,1e-10,0.7361512208,0.7361512208,0,0.275612277,0.275612277,0,0.6950153174,0.6950153174,0,0.7373449536,0.7373449536,0,0,True
method,kubernetes,naive_bayes,"{""model__var_smoothing"": 1e-09}",126812,1215,1e-10,0.6588921283,0.6588921283,0,-0.01009928709,-0.01009928709,-4.683753385e-17,0.5720941865,0.5720941865,0,0.5971315796,0.5971315796,0,4.683753385e-17,True
method,minio,naive_bayes,"{""model__var_smoothing"": 1e-09}",114687,13340,1e-10,0.705337721,0.705337721,0,0.1725375147,0.1725375147,0,0.6043229958,0.6043229958,0,0.6267396954,0.6267396954,0,0,True
method,nomad,naive_bayes,"{""model__var_smoothing"": 1e-09}",125086,2941,1e-10,0.571577575,0.571577575,0,0.0532264462,0.0532264462,9.020562075e-17,0.5612064875,0.5612064875,0,0.4520659198,0.4520659198,0,9.020562075e-17,True
method,packer,naive_bayes,"{""model__var_smoothing"": 1e-09}",126634,1393,1e-10,0.5093803297,0.5093803297,0,0.04689018271,0.04689018271,2.775557562e-17,0.4433020097,0.4433020097,0,0.3084484476,0.3084484476,0,2.775557562e-17,True
method,rclone,naive_bayes,"{""model__var_smoothing"": 1e-09}",127519,508,1e-10,0.7692307692,0.7692307692,0,0.2186901765,0.2186901765,2.775557562e-17,0.6829442123,0.6829442123,0,0.7512360912,0.7512360912,0,2.775557562e-17,True
method,terraform,naive_bayes,"{""model__var_smoothing"": 1e-09}",121793,6234,1e-10,0.5294852574,0.5294852574,0,0.03885072228,0.03885072228,1.387778781e-17,0.5498590854,0.5498590854,0,0.4044978605,0.4044978605,5.551115123e-17,5.551115123e-17,True
method,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",102217,25810,1e-10,0.4274852331,0.4274852331,5.551115123e-17,-0.0009017756523,-0.0009017756523,-5.464378949e-17,0.5196193848,0.5196193848,0,0.2943973621,0.2943973621,0,5.551115123e-17,True
method,vault,naive_bayes,"{""model__var_smoothing"": 1e-09}",124753,3274,1e-10,0.4025122884,0.4025122884,0,0.006673287723,0.006673287723,6.418476861e-17,0.4937743018,0.4937743018,0,0.2745522885,0.2745522885,5.551115123e-17,6.418476861e-17,True
