granularity,target_project,model_name,best_params,smote_k,f1_1,mcc,auc,pr_auc,fixed_family_and_hyperparameters
commit,caddy,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",1,0.7038961039,0.3366701549,0.7463789157,0.823157026,True
commit,compose,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",1,0.7643979058,0.1904107053,0.6515700483,0.8914414397,True
commit,consul,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",1,0.8444444444,0.4168708061,0.783945157,0.9018985025,True
commit,fiber,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",1,0.6816608997,0.2308216887,0.6682965472,0.7861899835,True
commit,gin,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",1,0.608,0.3758439393,0.7303596544,0.7817068863,True
commit,gitea,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",1,0.6607401282,0.3449048275,0.7377835354,0.7045518952,True
commit,grafana,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",1,0.7910738356,0.4458316258,0.7983198787,0.8532944564,True
commit,influxdb,random_forest,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",1,0.7789473684,0.3605083604,0.7850868212,0.8755425429,True
commit,kubernetes,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",1,0.8596713021,0.3251572478,0.8289203085,0.9491019283,True
commit,minio,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",1,0.7577134657,0.3414641189,0.7438118035,0.8450506886,True
commit,nomad,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",1,0.8270401949,0.3339911297,0.7784764787,0.9059094604,True
commit,packer,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",1,0.8018867925,0.3685660029,0.787569944,0.9014924367,True
commit,rclone,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",1,0.7944250871,0.4202591955,0.8216326531,0.9115254292,True
commit,terraform,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",1,0.7627039627,0.4451383889,0.8073265034,0.8733196546,True
commit,traefik,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",1,0.7131386861,0.3094232511,0.7164570707,0.7486073195,True
commit,vault,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",1,0.8398791541,0.4211654077,0.8236341382,0.9122313782,True
commit,caddy,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3,0.7157622739,0.35855015,0.7506490623,0.8269597207,True
commit,compose,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3,0.7897435897,0.2240868063,0.6888083736,0.9090513747,True
commit,consul,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3,0.8377358491,0.4203195602,0.7888102609,0.9149246738,True
commit,fiber,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3,0.6724738676,0.2181633954,0.6609484266,0.7911619815,True
commit,gin,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",3,0.6046511628,0.3318851051,0.7166968053,0.7785134956,True
commit,gitea,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3,0.6572467532,0.3404516226,0.7365088768,0.7033464774,True
commit,grafana,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",3,0.7892916228,0.4447070787,0.799979116,0.8583931006,True
commit,influxdb,random_forest,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3,0.783625731,0.3740631011,0.786197682,0.8768834716,True
commit,kubernetes,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",3,0.8641025641,0.3779047022,0.8322622108,0.95088458,True
commit,minio,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",3,0.7565363396,0.3421855447,0.7411804311,0.8428890508,True
commit,nomad,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3,0.8248309773,0.3430587035,0.7836012276,0.9073309889,True
commit,packer,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3,0.8107255521,0.4013847405,0.8031796785,0.9123408297,True
commit,rclone,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",3,0.8013937282,0.439992178,0.8213605442,0.9086109451,True
commit,terraform,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",3,0.7583643123,0.4318520234,0.8052017252,0.8721836292,True
commit,traefik,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3,0.7075229358,0.300216968,0.7157698119,0.7519311309,True
