granularity,smote_k,target_count,fixed_family_and_hyperparameters,mean_f1_1,std_f1_1,mean_delta_vs_k1_f1_1,wilcoxon_statistic_vs_k1_f1_1,wilcoxon_pvalue_vs_k1_f1_1,paired_n_f1_1,mean_mcc,std_mcc,mean_delta_vs_k1_mcc,wilcoxon_statistic_vs_k1_mcc,wilcoxon_pvalue_vs_k1_mcc,paired_n_mcc
commit,1,16,True,0.7618512082,0.07146966352,0,0,1,16,0.3541891782,0.07118917072,0,0,1,16
commit,3,16,True,0.7630648631,0.07313354664,0.001213654892,65,0.8999328613,16,0.3603347426,0.06915858568,0.006145564409,50,0.3754577637,16
commit,5,16,True,0.7598267263,0.07896797168,-0.002024481875,62,0.7819519043,16,0.3560107203,0.07428510027,0.001821542125,59,0.668548584,16
commit,7,16,True,0.7591380536,0.07163188414,-0.002713154584,47,0.2978515625,16,0.3497071127,0.07900055483,-0.004482065498,58,0.6321716309,16
file,1,16,True,0.4376988797,0.08677931135,0,0,1,16,0.04332413585,0.03774386558,0,0,1,16
file,3,16,True,0.4357321522,0.08154653192,-0.001966727454,50,0.5700608836,16,0.04178731532,0.04280828818,-0.001536820535,48,0.4955208831,16
file,5,16,True,0.4361264362,0.09310333477,-0.001572443442,60,0.7057189941,16,0.04389520265,0.03940629067,0.0005710668017,65,0.8999328613,16
file,7,16,True,0.4379219182,0.08666989123,0.0002230385398,65,0.8999328613,16,0.03860653122,0.04635109878,-0.004717604632,51,0.4037475586,16
method,1,16,True,0.6043045194,0.111876868,0,0,1,16,0.09167621128,0.07933475025,0,0,1,16
method,3,16,True,0.6041054272,0.1117735828,-0.0001990921857,52,0.4331970215,16,0.09047703728,0.07747989017,-0.001199174003,62,0.7819519043,16
method,5,16,True,0.6050460091,0.1115720496,0.0007414897466,68,1,16,0.09148897006,0.07769791459,-0.0001872412184,59,0.668548584,16
method,7,16,True,0.6018270236,0.1099869035,-0.002477495769,43,0.2114257812,16,0.09038012316,0.07322312964,-0.001296088123,63,0.820892334,16
