granularity,target_project,model_name,timestamp_covered_rows,timestamp_total_rows,timestamp_row_coverage,timestamp_covered_unique_shas,timestamp_total_unique_shas,timestamp_sha_coverage,ambiguous_timestamp_shas,temporal_split_unit,status,error_message,temporal_train_unique_shas,temporal_test_unique_shas,temporal_train_rows,temporal_test_rows,temporal_train_positives,temporal_test_positives,temporal_test_start_timestamp,lopo_late_f1_1,wpdp_f1_1,wpdp_minus_lopo_f1_1,lopo_late_mcc,wpdp_mcc,wpdp_minus_lopo_mcc,lopo_late_auc,wpdp_auc,wpdp_minus_lopo_auc,lopo_late_pr_auc,wpdp_pr_auc,wpdp_minus_lopo_pr_auc
commit,caddy,random_forest,693,693,1,635,635,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,508,127,556,137,363,38,1697039178,0.5294117647,0.5436893204,0.01427755568,0.3022148512,0.3255505079,0.02333565671,0.7922647528,0.7333864965,-0.05887825625,0.7033027456,0.556093861,-0.1472088846
commit,compose,random_forest,131,131,1,129,129,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,103,26,105,26,93,15,1687177220,0.7878787879,0.7692307692,-0.01864801865,0.4411494017,0.3370999312,-0.1040494705,0.7212121212,0.6878787879,-0.03333333333,0.7862808342,0.7189961575,-0.06728467664
commit,consul,random_forest,184,184,1,181,181,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,144,37,146,38,114,19,1629403782,0.8181818182,0.7,-0.1181818182,0.6101702158,0.3704792868,-0.239690929,0.8573407202,0.7354570637,-0.1218836565,0.8871009832,0.7903691127,-0.09673187053
commit,fiber,random_forest,488,488,1,437,437,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,349,88,392,96,272,40,1702389329,0.6728971963,0.6371681416,-0.03572905467,0.3719643447,0.276385613,-0.0955787317,0.7879464286,0.7372767857,-0.05066964286,0.741051316,0.62619464,-0.1148566759
commit,gin,random_forest,142,142,1,129,129,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,103,26,115,27,74,5,1647826997,0.3333333333,0.5,0.1666666667,0.4113766756,0.3809107182,-0.03046595745,0.7136363636,0.7409090909,0.02727272727,0.5339544513,0.4283333333,-0.105621118
commit,gitea,random_forest,9942,9942,1,8438,8438,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,6750,1688,8039,1903,3873,643,1687421772,0.5974842767,0.6114114114,0.01392713468,0.3444555685,0.3646929763,0.02023740775,0.7528345553,0.7695401022,0.01670554692,0.640240029,0.6538298045,0.01358977545
commit,grafana,random_forest,5356,5356,1,4951,4951,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,3960,991,4275,1081,2851,441,1709144197,0.7140077821,0.6951566952,-0.01885108694,0.4818883947,0.4418251096,-0.04006328509,0.8071127409,0.811042021,0.003929280045,0.7361294423,0.7571000335,0.02097059122
commit,influxdb,random_forest,653,653,1,617,617,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,493,124,516,137,389,32,1668606010,0.4571428571,0.4255319149,-0.03161094225,0.2402790425,0.1942354434,-0.04604359909,0.7263392857,0.7032738095,-0.02306547619,0.5024258909,0.3914901949,-0.110935696
commit,kubernetes,random_forest,499,499,1,498,498,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,398,100,399,100,340,49,1673975364,0.6557377049,0.6923076923,0.03656998739,0.1905960637,0.2707647243,0.08016866059,0.7198879552,0.7795118047,0.05962384954,0.7514444184,0.7894088665,0.0379644481
commit,minio,random_forest,3293,3293,1,2809,2809,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,2247,562,2618,675,1927,258,1678403746,0.6088435374,0.5893129771,-0.01953056032,0.3224343505,0.2555724718,-0.06686187871,0.7291701523,0.6985713755,-0.03059877679,0.6544710445,0.5798350601,-0.07463598442
commit,nomad,random_forest,1109,1109,1,1058,1058,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,846,212,875,234,727,95,1697825942,0.6446280992,0.618705036,-0.0259230632,0.3298875967,0.246724454,-0.08316314273,0.7586141613,0.7335100341,-0.02510412722,0.6890311638,0.6628009307,-0.02623023306
