granularity,target_project,model_name,f1_1,mcc,target_rows,log_target_rows,source_prevalence,target_prevalence,abs_source_target_prevalence_gap,mean_abs_standardized_feature_mean_shift,shifted_feature_count,shift_definition,exploratory,causal_interpretation
commit,caddy,random_forest,0.7038961039,0.3366701549,693,6.542471961,0.5707967836,0.5786435786,0.007846795018,0.08841933479,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,compose,random_forest,0.7643979058,0.1904107053,131,4.882801923,0.5698015901,0.8244274809,0.2546258908,0.08744620324,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,consul,random_forest,0.8444444444,0.4168708061,184,5.220355825,0.5699881589,0.722826087,0.1528379281,0.09614838465,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,fiber,random_forest,0.6816608997,0.2308216887,488,6.192362489,0.5697805188,0.6393442623,0.06956374352,0.1121629737,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,gin,random_forest,0.608,0.3758439393,142,4.96284463,0.5710651714,0.5563380282,0.01472714327,0.1391402172,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,gitea,random_forest,0.6607401282,0.3449048275,9942,9.204624065,0.6350836508,0.4542345605,0.1808490904,0.03954826316,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,grafana,random_forest,0.7910738356,0.4458316258,5356,8.586159396,0.5606908402,0.6146377894,0.0539469492,0.0794238474,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,influxdb,random_forest,0.7789473684,0.3605083604,653,6.483107351,0.5692335766,0.6447166922,0.07548311555,0.0333096468,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,kubernetes,random_forest,0.8596713021,0.3251572478,499,6.214608098,0.5672134717,0.7795591182,0.2123456465,0.36713387,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,minio,random_forest,0.7577134657,0.3414641189,3293,8.099857911,0.5586833603,0.6635286972,0.104845337,0.07269268761,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,nomad,random_forest,0.8270401949,0.3339911297,1109,7.012115294,0.5639845606,0.7412082958,0.1772237352,0.05829061094,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,packer,random_forest,0.8018867925,0.3685660029,463,6.139884552,0.568829286,0.6997840173,0.1309547313,0.1379055105,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,rclone,random_forest,0.7944250871,0.4202591955,222,5.407171771,0.5702633754,0.6621621622,0.09189878679,0.0451272016,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,terraform,random_forest,0.7627039627,0.4451383889,1865,7.531552381,0.5689628838,0.599463807,0.03050092321,0.1092282301,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,traefik,random_forest,0.7131386861,0.3094232511,2331,7.754481547,0.5722727626,0.5568425568,0.01543020577,0.07376476734,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
commit,vault,random_forest,0.8398791541,0.4211654077,682,6.52649486,0.5679368675,0.6935483871,0.1256115196,0.2768574327,14,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,caddy,logistic_regression,0.1823529412,0.006751768905,693,6.542471961,0.2882139238,0.3737373737,0.08552344991,0.2036711178,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,compose,logistic_regression,0.5208333333,0.05022057619,80,4.394449155,0.2895121239,0.3625,0.07298787613,0.1698064164,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,consul,naive_bayes,0.5212765957,-0.0105939291,153,5.036952602,0.2893202936,0.3790849673,0.08976467368,0.1913975623,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,fiber,naive_bayes,0.4763061968,-0.002467913878,676,6.517671273,0.2890563241,0.325443787,0.03638746287,0.3562125421,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,gin,logistic_regression,0.528,0.08994638907,119,4.787491743,0.2893730048,0.3865546218,0.097181617,0.261650881,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,gitea,naive_bayes,0.3799914126,0.00614864137,19191,9.862248805,0.3185977692,0.2565264968,0.06207127238,0.1073078523,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,grafana,logistic_regression,0.4128514056,0.06537445499,2771,7.92732436,0.2907385698,0.2746300974,0.01610847232,0.1809875597,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,influxdb,logistic_regression,0.4255319149,0.07139014006,658,6.490723535,0.2895451627,0.2963525836,0.006807420863,0.4839808621,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,kubernetes,logistic_regression,0.3956834532,0.08521503653,407,6.011267174,0.2888905249,0.3660933661,0.07720284117,0.2328714477,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,minio,logistic_regression,0.4305103149,0.04184806355,4425,8.395251521,0.2820778089,0.3525423729,0.07046456395,0.5516687546,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,nomad,logistic_regression,0.4982817869,0.07651032759,1192,7.084226422,0.2871584426,0.3733221477,0.08616370505,0.3138386003,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,packer,logistic_regression,0.4925053533,0.07753459337,481,6.177944114,0.28877689,0.3638253638,0.07504847384,0.2654134995,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,rclone,logistic_regression,0.3538461538,-0.0112509722,178,5.187385806,0.2891551564,0.404494382,0.1153392256,0.1941851799,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,terraform,logistic_regression,0.5023060797,0.09043638999,2370,7.771067086,0.2854896097,0.3578059072,0.07231629752,0.2058667396,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,traefik,naive_bayes,0.4273697426,0.01293461795,6797,8.82438373,0.2919176926,0.2782109754,0.01370671717,0.1995362751,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,vault,naive_bayes,0.4555353902,0.04318798926,965,6.873163834,0.2893931477,0.3005181347,0.011124987,0.1100213676,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,caddy,naive_bayes,0.658084449,0.1250209044,1467,7.291656209,0.3797013274,0.4996591684,0.1199578409,0.1907939165,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,compose,naive_bayes,0.6234567901,0.134495151,271,5.605802066,0.3808744795,0.4760147601,0.09514028067,0.139594931,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,consul,naive_bayes,0.6963292547,0.06976044268,636,6.456769656,0.3801524441,0.5660377358,0.1858852918,0.073557563,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,fiber,naive_bayes,0.7413127413,0.08174268599,2008,7.605392365,0.3777287552,0.5911354582,0.213406703,0.2998929069,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,gin,naive_bayes,0.5714285714,0.06122652986,176,5.176149733,0.3810373012,0.4090909091,0.02805360786,0.1422573224,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
