granularity,target_project,adequacy,matched_model_name,f1_1_with_go,f1_1_without_go,delta_f1_1,mcc_with_go,mcc_without_go,delta_mcc
file,caddy,PRIMARY,logistic_regression,0.1823529411764705,0.1528662420382165,0.029486699138253997,0.0067517689050569,0.0380072097933028,-0.031255440888245896
file,compose,INSUFFICIENT,logistic_regression,0.5208333333333334,0.52,0.0008333333333333526,0.0502205761927124,0.0216015432341058,0.028619032958606596
file,consul,EXPLORATORY,naive_bayes,0.5212765957446809,0.5154639175257731,0.005812678218907741,-0.0105939290976412,-0.0666817889684754,0.0560878598708342
file,fiber,PRIMARY,naive_bayes,0.4763061968408262,0.4808612440191387,-0.00455504717831251,-0.0024679138779082,0.0058464232793671,-0.0083143371572753
file,gin,EXPLORATORY,logistic_regression,0.528,0.56,-0.03200000000000003,0.0899463890741148,0.247002840787385,-0.1570564517132702
file,gitea,PRIMARY,naive_bayes,0.3799914126234435,0.3844055354397103,-0.004414122816266797,0.0061486413696556,-0.0100166666882622,0.0161653080579178
file,grafana,PRIMARY,logistic_regression,0.4128514056224899,0.4125269978401727,0.00032440778231718204,0.0653744549911067,0.0346483965542382,0.030726058436868493
file,influxdb,PRIMARY,logistic_regression,0.425531914893617,0.3247422680412371,0.1007896468523799,0.0713901400557097,0.042426453145463,0.028963686910246707
file,kubernetes,PRIMARY,logistic_regression,0.39568345323741,0.3897058823529412,0.005977570884468819,0.0852150365344724,0.088525040192052,-0.003310003657579594
file,minio,PRIMARY,logistic_regression,0.4305103148751357,0.4421841541755889,-0.011673839300453182,0.0418480635481068,0.0556983423429775,-0.013850278794870698
file,nomad,PRIMARY,logistic_regression,0.4982817869415807,0.4557477110885046,0.042534075853076114,0.0765103275923907,0.0806969818408287,-0.004186654248438004
file,packer,PRIMARY,logistic_regression,0.4925053533190578,0.4978902953586498,-0.005384942039592,0.0775345933687643,0.0821195773626872,-0.004584983993922903
file,rclone,EXPLORATORY,logistic_regression,0.3538461538461538,0.3225806451612903,0.0312655086848635,-0.0112509722036418,-0.0260202639528048,0.014769291749163
file,terraform,PRIMARY,logistic_regression,0.5023060796645702,0.507711546477699,-0.005405466813128812,0.0904363899851433,0.1000310893478992,-0.009594699362755893
file,traefik,PRIMARY,naive_bayes,0.4273697426239799,0.4273718511091615,-2.1084851815622585e-06,0.0129346179502238,0.0120853955009782,0.0008492224492455992
file,vault,PRIMARY,naive_bayes,0.455535390199637,0.4586330935251798,-0.0030977033255427666,0.0431879892564735,0.0507287091455081,-0.007540719889034604
method,caddy,PRIMARY,naive_bayes,0.6580844490216272,0.6591836734693878,-0.0010992244477605606,0.1250209043566101,0.1213216419267599,0.003699262429850192
method,compose,PRIMARY,naive_bayes,0.6234567901234568,0.6430678466076696,-0.019611056484212797,0.1344951510128325,0.1598730251735965,-0.025377874160764008
method,consul,PRIMARY,naive_bayes,0.696329254727475,0.7071823204419889,-0.010853065714513943,0.0697604426845317,0.1042764751555731,-0.0345160324710414
method,fiber,PRIMARY,naive_bayes,0.7413127413127413,0.740096618357488,0.001216122955253307,0.0817426859919838,0.0744264673507851,0.007316218641198691
method,gin,EXPLORATORY,naive_bayes,0.5714285714285714,0.5545454545454546,0.016883116883116833,0.0612265298642204,0.0143614137970537,0.0468651160671667
method,gitea,PRIMARY,naive_bayes,0.5550094404651302,0.5546772851539284,0.0003321553112017872,0.1186647881690145,0.1149866281218168,0.003678160047197704
method,grafana,PRIMARY,naive_bayes,0.5131985397360292,0.5135852032403757,-0.0003866635043464628,0.074429334164734,0.0833767721835652,-0.008947438018831202
method,influxdb,PRIMARY,naive_bayes,0.736151220792859,0.7412412412412412,-0.005090020448382249,0.2756122769623342,0.2646616284110439,0.010950648551290298
method,kubernetes,PRIMARY,naive_bayes,0.6588921282798834,0.6604215456674473,-0.0015294173875638473,-0.0100992870891383,0.0036736383846671,-0.0137729254738054
method,minio,PRIMARY,naive_bayes,0.7053377210106532,0.7141234380916319,-0.00878571708097875,0.1725375146888824,0.1738131741105623,-0.0012756594216798978
method,nomad,PRIMARY,naive_bayes,0.5715775749674055,0.5751702462022001,-0.0035926712347946754,0.0532264461971481,0.0718096009152965,-0.018583154718148406
method,packer,PRIMARY,naive_bayes,0.5093803297328028,0.5022883295194508,0.00709200021335199,0.0468901827064768,0.017089802387947,0.029800380318529805
method,rclone,PRIMARY,naive_bayes,0.7692307692307693,0.767379679144385,0.0018510900863842883,0.2186901764582018,0.2189911427590529,-0.00030096630085110765
method,terraform,PRIMARY,naive_bayes,0.5294852573713144,0.5290209351886674,0.0004643221826469146,0.0388507222837055,0.0389221141966627,-7.139191295719993e-05
method,traefik,PRIMARY,naive_bayes,0.4274852331280633,0.4273477257641369,0.0001375073639264257,-0.0009017756522646,0.0029937977926893,-0.0038955734449539
method,vault,PRIMARY,naive_bayes,0.4025122883670126,0.4057812926097627,-0.0032690042427501176,0.0066732877229262,0.0180589398052515,-0.0113856520823253
