target_project,commit_adequacy,file_adequacy,method_adequacy
caddy,PRIMARY,PRIMARY,PRIMARY
compose,INSUFFICIENT,INSUFFICIENT,PRIMARY
consul,EXPLORATORY,EXPLORATORY,PRIMARY
fiber,PRIMARY,PRIMARY,PRIMARY
gin,EXPLORATORY,EXPLORATORY,EXPLORATORY
gitea,PRIMARY,PRIMARY,PRIMARY
grafana,PRIMARY,PRIMARY,PRIMARY
influxdb,PRIMARY,PRIMARY,PRIMARY
kubernetes,PRIMARY,PRIMARY,PRIMARY
minio,PRIMARY,PRIMARY,PRIMARY
nomad,PRIMARY,PRIMARY,PRIMARY
packer,PRIMARY,PRIMARY,PRIMARY
rclone,PRIMARY,EXPLORATORY,PRIMARY
terraform,PRIMARY,PRIMARY,PRIMARY
traefik,PRIMARY,PRIMARY,PRIMARY
vault,PRIMARY,PRIMARY,PRIMARY
