granularity,model_name,mean_f1_1,std_f1_1,mean_balanced_accuracy,std_balanced_accuracy,mean_mcc,std_mcc,mean_auc,std_auc,mean_pr_auc,std_pr_auc,mean_precision_1,std_precision_1,mean_recall_1,std_recall_1
commit,logistic_regression,0.6617972568787389,0.11200853920212715,0.6836717965628589,0.0549727713227253,0.35425473003027186,0.09440877505167168,0.7524888917755631,0.04485407024784434,0.8444345179392518,0.07000483656145304,0.8468517459089191,0.05847307933579218,0.5528444488452964,0.13139920932059537
commit,naive_bayes,0.149737436282473,0.09195582765745221,0.5374670232177327,0.026114175493108887,0.1372662320300145,0.06747791478459468,0.6801904469279678,0.06918378192907793,0.8081493965503079,0.08733102998041878,0.8812321394450517,0.2466569541826404,0.08385955037097245,0.054401533952318976
commit,random_forest,0.7618512081934082,0.07146966352206055,0.6772401948381185,0.031196910281042736,0.3541891781506943,0.07118917071868898,0.7630980911323679,0.05312815658666376,0.8540638142428715,0.06808165908583902,0.7846748754611236,0.06559826209199443,0.7484848027355576,0.10215329347241985
commit,xgboost,0.7531547436391313,0.07415377121123824,0.6946452767440213,0.03388392736056022,0.379629541524143,0.07151903417288498,0.76717586241003,0.04998689120575615,0.8571278140355362,0.0635159964082868,0.8101859114556919,0.06656905232705483,0.7127383636875392,0.1039184201444996
file,logistic_regression,0.4299331379759473,0.08589619118943709,0.5294018394417348,0.01888760448285761,0.05795623527643218,0.03664854154648251,0.5411921386418362,0.03023039777315306,0.3758368136656302,0.06412332153420532,0.3649751994737,0.0495994212427289,0.5793156269223022,0.1796827025959674
file,naive_bayes,0.4082951088697372,0.1625248138647391,0.5117025570206979,0.012888270642895718,0.02452602749770565,0.03930228850137922,0.5294474360377712,0.0208864310978219,0.3605436976738906,0.05715681362914747,0.33159537025526137,0.08229282044888322,0.6351327626476442,0.3080268355337262
file,random_forest,0.4045489782598588,0.09563273838183439,0.5167475365312658,0.039955997837312456,0.030829179642798563,0.07920634999773331,0.5320418199515898,0.056213100902676255,0.37805025401128406,0.04749376399583701,0.3601375120872272,0.04020633194714591,0.49988957071167534,0.18830914566363743
file,xgboost,0.39402443264603254,0.09450199294216423,0.5100740605008982,0.041117424899829315,0.017790990058748114,0.08280312750761375,0.5232494168531198,0.060602678888910015,0.3729215085965549,0.04353639732072851,0.3572471166136501,0.03905246409097605,0.48544012064494746,0.2036861939377706
method,logistic_regression,0.5695190537930308,0.10780842685689053,0.570340614610164,0.04426190348567015,0.14323153235876207,0.08999191512181304,0.5751595849638382,0.049813705042440475,0.5018884736590459,0.13129569110180198,0.5064260286887055,0.14363565827632202,0.6865290009994256,0.08996239118483433
method,naive_bayes,0.6043045193559872,0.11187686801485981,0.5340356165459584,0.032878227632839284,0.09167621128263745,0.0793347502535885,0.5677187734720006,0.06638413822403405,0.5041330578052582,0.15870816840708987,0.4687551455132063,0.12813865398994775,0.8958542795837283,0.046441582823411584
method,random_forest,0.517735911451888,0.11813176652972898,0.5731285367708981,0.04721436524211797,0.14595962957197792,0.09381036526879658,0.5917734808439452,0.055658827652535714,0.5241741852752513,0.15254085631412367,0.5263117906700303,0.15433352255326915,0.5241183628244509,0.10515804406161286
method,xgboost,0.5406890446166153,0.11704206501068788,0.5712884137804697,0.05112303001401507,0.14287803408560334,0.10260138233767947,0.5830812982884833,0.05563957051061659,0.5112922345267716,0.14809917907138634,0.517074309829998,0.15429501376983143,0.5933628630423383,0.10276158637896977
