target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling,always_positive_f1_1,majority_f1_1,f1_gap_to_majority,minority_count,adequacy
caddy,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7699119745286267,0.3573664362695336,14,0,,,0.670995670995671,0.6700970177296485,0.5987654320987654,0.6643835616438356,0.6298701298701299,0.7344173441734417,0.6758104738154613,0.7038961038961039,0.7344173441734417,0.6758104738154613,0.7038961038961039,0.3366701549076993,0.7463789157243876,0.7463789157243876,0.8231570259605603,194,98,130,271,693,292,401,0.5786435786435786,324,369,commit,15,27360,15617,11743,0.5707967836257309,693,401,292,0.5786435786435786,smote,0.73308957952468,0.73308957952468,-0.029193475628576104,292,PRIMARY
compose,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7626583881219098,0.3581730948468518,14,0,,,0.6564885496183206,0.6205716586151369,0.2708333333333333,0.5652173913043478,0.3661971830985915,0.8795180722891566,0.6759259259259259,0.7643979057591623,0.8795180722891566,0.6759259259259259,0.7643979057591623,0.1904107053241536,0.6515700483091788,0.6515700483091788,0.8914414396863133,13,10,35,73,131,23,108,0.8244274809160306,48,83,commit,15,27922,15910,12012,0.5698015901439725,131,108,23,0.8244274809160306,smote,0.9037656903765691,0.9037656903765691,-0.13936778461740673,23,INSUFFICIENT
consul,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7636151267549824,0.3608754301088747,14,0,,,0.7717391304347826,0.7030812324929971,0.5957446808510638,0.5490196078431373,0.5714285714285714,0.8321167883211679,0.8571428571428571,0.8444444444444444,0.8321167883211679,0.8571428571428571,0.8444444444444444,0.4168708061156629,0.7839451570101725,0.7839451570101725,0.901898502476214,28,23,19,114,184,51,133,0.7228260869565217,47,137,commit,15,27869,15885,11984,0.5699881588862177,184,133,51,0.7228260869565217,smote,0.8391167192429022,0.8391167192429022,0.005327725201542233,51,EXPLORATORY
fiber,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7698231449273039,0.3636910257426689,14,0,,,0.6229508196721312,0.6196824009324009,0.481981981981982,0.6079545454545454,0.5376884422110553,0.7406015037593985,0.6314102564102564,0.6816608996539792,0.7406015037593985,0.6314102564102564,0.6816608996539792,0.2308216886751816,0.6682965472027971,0.6682965472027971,0.7861899834708647,107,69,115,197,488,176,312,0.639344262295082,222,266,commit,15,27565,15706,11859,0.5697805187738073,488,312,176,0.639344262295082,smote,0.78,0.78,-0.09833910034602078,176,PRIMARY
gin,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.7749122774659637,0.3559674342068017,14,0,,,0.6549295774647887,0.6770142656218605,0.5729166666666666,0.873015873015873,0.6918238993710691,0.8260869565217391,0.4810126582278481,0.608,0.8260869565217391,0.4810126582278481,0.608,0.3758439392597869,0.7303596544102873,0.7303596544102873,0.781706886262957,55,8,41,38,142,63,79,0.5563380281690141,96,46,commit,15,27911,15939,11972,0.5710651714377843,142,79,63,0.5563380281690141,smote,0.7149321266968327,0.7149321266968327,-0.10693212669683272,63,EXPLORATORY
gitea,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7777179291263182,0.3662283416573694,14,0,,,0.6698853349426674,0.673056800622401,0.7240802675585284,0.6384076667895319,0.6785504407443683,0.6196200077549437,0.7077059344552702,0.6607401281786232,0.6196200077549437,0.7077059344552702,0.6607401281786232,0.3449048275069165,0.737783535429747,0.737783535429747,0.7045518952379696,3464,1962,1320,3196,9942,5426,4516,0.4542345604506135,4784,5158,commit,15,18111,11502,6609,0.6350836508199437,9942,4516,5426,0.4542345604506135,smote,0.6247060450961405,0.0,0.6607401281786232,4516,PRIMARY
grafana,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",0.7683424836873406,0.3678854042199107,14,0,,,0.7395444361463779,0.72089137867699,0.669710806697108,0.6395348837209303,0.654275092936803,0.7802067946824225,0.8022478736330498,0.79107383555489,0.7802067946824225,0.8022478736330498,0.79107383555489,0.4458316257507287,0.7983198787052475,0.7983198787052475,0.8532944563777229,1320,744,651,2641,5356,2064,3292,0.614637789395071,1971,3385,commit,15,22697,12726,9971,0.5606908401991453,5356,3292,2064,0.614637789395071,smote,0.7613320999074931,0.7613320999074931,0.029741735647396905,2064,PRIMARY
influxdb,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7632314341709253,0.3705428889612809,14,0,,,0.7105666156202144,0.6778145220738799,0.5981735159817352,0.5646551724137931,0.5809312638580931,0.7672811059907834,0.7909738717339667,0.7789473684210526,0.7672811059907834,0.7909738717339667,0.7789473684210526,0.3605083603627906,0.7850868211974773,0.7850868211974773,0.8755425429250973,131,101,88,333,653,232,421,0.6447166921898928,219,434,commit,15,27400,15597,11803,0.5692335766423358,653,421,232,0.6447166921898928,smote,0.7839851024208566,0.7839851024208566,-0.005037733999804006,232,PRIMARY
kubernetes,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.758070082209517,0.3522339771276735,14,0,,,0.7775551102204409,0.65519981304043,0.4948453608247423,0.4363636363636363,0.463768115942029,0.845771144278607,0.8740359897172236,0.8596713021491783,0.845771144278607,0.8740359897172236,0.8596713021491783,0.3251572478371795,0.8289203084832906,0.8289203084832906,0.9491019283315438,48,62,49,340,499,110,389,0.779559118236473,97,402,commit,15,27554,15629,11925,0.5672134717282428,499,389,110,0.779559118236473,smote,0.8761261261261262,0.8761261261261262,-0.016454823976947863,110,PRIMARY
minio,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.7634524908779557,0.359206377522188,14,0,,,0.6923777710294564,0.6765508182636784,0.5366229760986893,0.628158844765343,0.5787941787941788,0.7935871743486974,0.7249427917620137,0.7577134656780674,0.7935871743486974,0.7249427917620137,0.7577134656780674,0.3414641189362608,0.7438118034845393,0.7438118034845393,0.8450506885876886,696,412,601,1584,3293,1108,2185,0.6635286972365624,1297,1996,commit,15,24760,13833,10927,0.5586833602584814,3293,2185,1108,0.6635286972365624,smote,0.7977364001460386,0.7977364001460386,-0.04002293446797123,1108,PRIMARY
