granularity,smote_k,target_project,selected_model,f1_1,mcc,auc
commit,1,caddy,random_forest,0.7038961039,0.3366701549,0.7463789157
commit,1,compose,random_forest,0.7643979058,0.1904107053,0.6515700483
commit,1,consul,random_forest,0.8444444444,0.4168708061,0.783945157
commit,1,fiber,random_forest,0.6816608997,0.2308216887,0.6682965472
commit,1,gin,random_forest,0.608,0.3758439393,0.7303596544
commit,1,gitea,random_forest,0.6607401282,0.3449048275,0.7377835354
commit,1,grafana,random_forest,0.7910738356,0.4458316258,0.7983198787
commit,1,influxdb,random_forest,0.7789473684,0.3605083604,0.7850868212
commit,1,kubernetes,random_forest,0.8596713021,0.3251572478,0.8289203085
commit,1,minio,random_forest,0.7577134657,0.3414641189,0.7438118035
commit,1,nomad,random_forest,0.8270401949,0.3339911297,0.7784764787
commit,1,packer,random_forest,0.8018867925,0.3685660029,0.787569944
commit,1,rclone,random_forest,0.7944250871,0.4202591955,0.8216326531
commit,1,terraform,random_forest,0.7627039627,0.4451383889,0.8073265034
commit,1,traefik,random_forest,0.7131386861,0.3094232511,0.7164570707
commit,1,vault,random_forest,0.8398791541,0.4211654077,0.8236341382
commit,5,caddy,random_forest,0.7030625832,0.3593232291,0.7519130257
commit,5,compose,random_forest,0.7817258883,0.1558827883,0.6859903382
commit,5,consul,random_forest,0.8345864662,0.4032139171,0.7696447
commit,5,fiber,random_forest,0.6862068966,0.2371879935,0.6797148164
commit,5,gin,random_forest,0.5573770492,0.310888021,0.7016274864
commit,5,gitea,random_forest,0.6621789561,0.3485696619,0.7397055014
commit,5,grafana,random_forest,0.791641791,0.4444386447,0.7982152381
commit,5,influxdb,random_forest,0.7894131185,0.3734619499,0.7882146367
commit,5,kubernetes,random_forest,0.8585858586,0.3168799055,0.8347394251
commit,5,minio,random_forest,0.7533220585,0.3434115016,0.7438690117
commit,5,nomad,random_forest,0.8273736128,0.3583527834,0.7854112092
commit,5,packer,random_forest,0.8050713154,0.3904650971,0.8006927791
commit,5,rclone,random_forest,0.7859649123,0.4049555011,0.8201814059
commit,5,terraform,random_forest,0.7619489559,0.4390585796,0.8033439662
commit,5,traefik,random_forest,0.7080561715,0.3071964322,0.7172230119
commit,5,vault,random_forest,0.8368794326,0.4171736497,0.8306644952
file,1,caddy,logistic_regression,0.1823529412,0.006751768905,0.5233572941
file,1,compose,logistic_regression,0.5208333333,0.05022057619,0.5402298851
file,1,consul,naive_bayes,0.5212765957,-0.0105939291,0.5709618875
file,1,fiber,naive_bayes,0.4763061968,-0.002467913878,0.5003289474
file,1,gin,logistic_regression,0.528,0.08994638907,0.6051220965
file,1,gitea,naive_bayes,0.3799914126,0.00614864137,0.5111678711
file,1,grafana,logistic_regression,0.4128514056,0.06537445499,0.5511699061
file,1,influxdb,logistic_regression,0.4255319149,0.07139014006,0.5477930996
file,1,kubernetes,logistic_regression,0.3956834532,0.08521503653,0.5561365174
file,1,minio,logistic_regression,0.4305103149,0.04184806355,0.523417461
file,1,nomad,logistic_regression,0.4982817869,0.07651032759,0.535848262
file,1,packer,logistic_regression,0.4925053533,0.07753459337,0.5448552754
file,1,rclone,logistic_regression,0.3538461538,-0.0112509722,0.4888626834
file,1,terraform,logistic_regression,0.5023060797,0.09043638999,0.563256592
file,1,traefik,naive_bayes,0.4273697426,0.01293461795,0.5334005911
file,1,vault,naive_bayes,0.4555353902,0.04318798926,0.5791034483
file,5,caddy,naive_bayes,0.5119196989,0.02096738666,0.5164137146
file,5,compose,naive_bayes,0.5471698113,0.1488432608,0.5202839757
file,5,consul,naive_bayes,0.5086705202,0.01263499783,0.566061706
file,5,fiber,naive_bayes,0.4722580645,0.01959084218,0.4767244817
file,5,gin,naive_bayes,0.5555555556,0.01757614525,0.5488385944
file,5,gitea,naive_bayes,0.3935480774,0.00575927614,0.5111394406
file,5,grafana,naive_bayes,0.4286632391,0.04812647599,0.5397107759
file,5,influxdb,naive_bayes,0.45,0.05316209397,0.5321980395
file,5,kubernetes,naive_bayes,0.5219206681,0.0545530534,0.5373549763
file,5,minio,naive_bayes,0.5104841784,0.05013056016,0.5378333781
file,5,nomad,naive_bayes,0.5360962567,0.04639375151,0.5494442188
file,5,packer,naive_bayes,0.5291970803,0.09624130248,0.5591036415
file,5,rclone,naive_bayes,0.5648148148,0.08015972057,0.5306603774
file,5,terraform,naive_bayes,0.5311562812,0.08131837867,0.5363683274
file,5,traefik,naive_bayes,0.4256403721,0.01293761316,0.5282863039
file,5,vault,naive_bayes,0.4554637282,0.04722873765,0.5672413793
method,1,caddy,naive_bayes,0.658084449,0.1250209044,0.5757478319
method,1,compose,naive_bayes,0.6234567901,0.134495151,0.609864614
method,1,consul,naive_bayes,0.6963292547,0.06976044268,0.5882447665
method,1,fiber,naive_bayes,0.7413127413,0.08174268599,0.5940333105
method,1,gin,naive_bayes,0.5714285714,0.06122652986,0.4897168803
method,1,gitea,naive_bayes,0.5550094405,0.1186647882,0.5194773413
method,1,grafana,naive_bayes,0.5131985397,0.07442933416,0.5842776497
method,1,influxdb,naive_bayes,0.7361512208,0.275612277,0.6950153174
method,1,kubernetes,naive_bayes,0.6588921283,-0.01009928709,0.5720941865
method,1,minio,naive_bayes,0.705337721,0.1725375147,0.6043229958
method,1,nomad,naive_bayes,0.571577575,0.0532264462,0.5612064875
method,1,packer,naive_bayes,0.5093803297,0.04689018271,0.4433020097
method,1,rclone,naive_bayes,0.7692307692,0.2186901765,0.6829442123
method,1,terraform,naive_bayes,0.5294852574,0.03885072228,0.5498590854
method,1,traefik,naive_bayes,0.4274852331,-0.0009017756523,0.5196193848
method,1,vault,naive_bayes,0.4025122884,0.006673287723,0.4937743018
method,5,caddy,naive_bayes,0.6608066184,0.1376802434,0.5762403768
method,5,compose,naive_bayes,0.6555555556,0.1674874295,0.6008570805
method,5,consul,naive_bayes,0.6997792494,0.0723002792,0.5989331723
method,5,fiber,naive_bayes,0.741956242,0.08671826311,0.6009053623
method,5,gin,naive_bayes,0.5650224215,0.0406267756,0.500400641
method,5,gitea,naive_bayes,0.5551366493,0.1221230574,0.5206622092
method,5,grafana,naive_bayes,0.5110986232,0.06681863557,0.5847482521
method,5,influxdb,naive_bayes,0.7366233766,0.2701736322,0.6992459649
method,5,kubernetes,naive_bayes,0.6588511137,-0.001061244844,0.5795262405
method,5,minio,naive_bayes,0.6991916859,0.1863568591,0.6135003578
method,5,nomad,naive_bayes,0.5710560626,0.05094240601,0.5597844685
method,5,packer,naive_bayes,0.5096481271,0.04730980542,0.442252555
method,5,rclone,naive_bayes,0.756684492,0.1728351421,0.6768821168
method,5,terraform,naive_bayes,0.5285142571,0.03480312684,0.54343776
method,5,traefik,naive_bayes,0.4280831583,0.00158853102,0.5193395163
method,5,vault,naive_bayes,0.402728513,0.007120579459,0.4927891862
