project_id,granularity,raw_row_count,row_count,bug_count,non_bug_count,exact_duplicate_rows,duplicate_candidate_rows,missing_features,missing_key_columns,inf_counts,coerced_nan_counts
caddy,commit,693,693,401,292,0,116,[],[],"{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}","{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}"
compose,commit,131,131,108,23,0,4,[],[],"{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}","{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}"
consul,commit,184,184,133,51,0,6,[],[],"{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}","{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}"
fiber,commit,488,488,312,176,0,102,[],[],"{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}","{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}"
gin,commit,142,142,79,63,0,26,[],[],"{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}","{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}"
gitea,commit,9942,9942,4516,5426,0,3008,[],[],"{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}","{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}"
grafana,commit,5356,5356,3292,2064,0,810,[],[],"{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}","{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}"
influxdb,commit,653,653,421,232,0,72,[],[],"{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}","{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}"
kubernetes,commit,499,499,389,110,0,2,[],[],"{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}","{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}"
minio,commit,3293,3293,2185,1108,0,968,[],[],"{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}","{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}"
nomad,commit,1109,1109,822,287,0,102,[],[],"{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}","{'modified_files_count': 0, 'code_churn': 0, 'max_file_churn': 0, 'avg_file_churn': 0, 'deletions': 0, 'insertions': 0, 'net_lines': 0, 'dmm_unit_size': 0, 'dmm_unit_complexity': 0, 'dmm_unit_interfacing': 0, 'total_token_count': 0, 'total_nloc': 0, 'total_complexity': 0, 'total_changed_method_count': 0}"
