target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.4031780808239691,0.0265900920030547,23,0,,,0.5656565656565656,0.5247851538174119,0.6436285097192225,0.6866359447004609,0.6644370122630993,0.408695652173913,0.3629343629343629,0.3844580777096114,0.408695652173913,0.3629343629343629,0.3844580777096114,0.0509286245816343,0.5179705709659627,0.5179705709659627,0.3852254699409707,298,136,165,94,693,434,259,0.3737373737373737,463,230,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.3737373737373737,smote
caddy,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.4326391733807876,0.0430271101540939,23,0,,,0.5988455988455988,0.5022418732096152,0.6274509803921569,0.8847926267281107,0.734225621414914,0.382716049382716,0.1196911196911196,0.1823529411764705,0.382716049382716,0.1196911196911196,0.1823529411764705,0.0067517689050569,0.5233572940946213,0.5233572940946213,0.3883608819318217,384,50,228,31,693,434,259,0.3737373737373737,612,81,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.3737373737373737,smote
caddy,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.4018657089491159,0.0237696938587847,23,0,,,0.4069264069264069,0.4852410013700336,0.5891472868217055,0.1751152073732718,0.2699822380106572,0.3652482269503546,0.7953667953667953,0.5006075334143378,0.3652482269503546,0.7953667953667953,0.5006075334143378,-0.0366899591103202,0.5186333469743609,0.5186333469743609,0.4419328638272202,76,358,53,206,693,434,259,0.3737373737373737,129,564,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.3737373737373737,smote
caddy,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",0.3929085539015571,0.0238046226727824,23,0,,,0.3751803751803751,0.4482189562834724,0.5036496350364964,0.1589861751152073,0.2416812609457092,0.3435251798561151,0.7374517374517374,0.4687116564417178,0.3435251798561151,0.7374517374517374,0.4687116564417178,-0.1258049887010217,0.4933588954326281,0.4933588954326281,0.4281397426052001,69,365,68,191,693,434,259,0.3737373737373737,137,556,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.3737373737373737,smote
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.4064212595538199,0.0381457260033214,23,0,,,0.4,0.521974306964165,0.8,0.0784313725490196,0.1428571428571428,0.3733333333333333,0.9655172413793104,0.5384615384615384,0.3733333333333333,0.9655172413793104,0.5384615384615384,0.087279778571999,0.5243407707910751,0.5243407707910751,0.3816332344306201,4,47,1,28,80,51,29,0.3625,5,75,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,smote
compose,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.4241787026681253,0.0613037252235184,23,0,,,0.425,0.5192697768762677,0.6923076923076923,0.1764705882352941,0.28125,0.373134328358209,0.8620689655172413,0.5208333333333334,0.373134328358209,0.8620689655172413,0.5208333333333334,0.0502205761927124,0.5402298850574713,0.5402298850574713,0.4471918763909748,9,42,4,25,80,51,29,0.3625,13,67,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,smote
compose,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",0.3994414917051921,0.0343468440600604,23,0,,,0.4125,0.464841108857336,0.5833333333333334,0.2745098039215686,0.3733333333333333,0.3392857142857143,0.6551724137931034,0.4470588235294118,0.3392857142857143,0.6551724137931034,0.4470588235294118,-0.0737648762118878,0.4543610547667343,0.4543610547667343,0.369686051796018,14,37,10,19,80,51,29,0.3625,24,56,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,smote
compose,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",0.395850032134781,0.0343479308185075,23,0,,,0.425,0.4895199459093982,0.6190476190476191,0.2549019607843137,0.3611111111111111,0.3559322033898305,0.7241379310344828,0.4772727272727273,0.3559322033898305,0.7241379310344828,0.4772727272727273,-0.0229003412294222,0.4334009465855308,0.4334009465855308,0.386257860802921,13,38,8,21,80,51,29,0.3625,21,59,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,smote
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.4899329413070367,0.0592608289415613,23,0,,,0.4117647058823529,0.4960980036297641,0.6086956521739131,0.1473684210526315,0.2372881355932203,0.3769230769230769,0.8448275862068966,0.5212765957446809,0.3769230769230769,0.8448275862068966,0.5212765957446809,-0.0105939290976412,0.570961887477314,0.570961887477314,0.4675748442681636,14,81,9,49,153,95,58,0.3790849673202614,23,130,file,15,41003,11863,29140,0.289320293637051,153,58,95,0.3790849673202614,smote
consul,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.4237606271771584,0.0540858955748747,23,0,,,0.5294117647058824,0.553901996370236,0.6825396825396826,0.4526315789473684,0.5443037974683544,0.4222222222222222,0.6551724137931034,0.5135135135135135,0.4222222222222222,0.6551724137931034,0.5135135135135135,0.1062720641581332,0.5765880217785844,0.5765880217785844,0.4470433019504756,43,52,20,38,153,95,58,0.3790849673202614,63,90,file,15,41003,11863,29140,0.289320293637051,153,58,95,0.3790849673202614,smote
