granularity,model_name,selection_scope,selection_rule,is_best_model_for_stats,target_project_count,valid_accuracy_count,mean_accuracy,std_accuracy,median_accuracy,min_accuracy,max_accuracy,valid_balanced_accuracy_count,mean_balanced_accuracy,std_balanced_accuracy,median_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,valid_precision_0_count,mean_precision_0,std_precision_0,median_precision_0,min_precision_0,max_precision_0,valid_recall_0_count,mean_recall_0,std_recall_0,median_recall_0,min_recall_0,max_recall_0,valid_f1_0_count,mean_f1_0,std_f1_0,median_f1_0,min_f1_0,max_f1_0,valid_precision_1_count,mean_precision_1,std_precision_1,median_precision_1,min_precision_1,max_precision_1,valid_recall_1_count,mean_recall_1,std_recall_1,median_recall_1,min_recall_1,max_recall_1,valid_f1_1_count,mean_f1_1,std_f1_1,median_f1_1,min_f1_1,max_f1_1,valid_auc_count,mean_auc,std_auc,median_auc,min_auc,max_auc,valid_pr_auc_count,mean_pr_auc,std_pr_auc,median_pr_auc,min_pr_auc,max_pr_auc,valid_mcc_count,mean_mcc,std_mcc,median_mcc,min_mcc,max_mcc,valid_precision_count,mean_precision,std_precision,median_precision,min_precision,max_precision,valid_recall_count,mean_recall,std_recall,median_recall,min_recall,max_recall,valid_f1_count,mean_f1,std_f1,median_f1,min_f1,max_f1,valid_roc_auc_count,mean_roc_auc,std_roc_auc,median_roc_auc,min_roc_auc,max_roc_auc
method,nested_selection,outer-fold model-family selection,"For each held-out target project, choose the model with the best inner-CV f1; tie-break with inner-CV mcc, then config order.",True,16,16,0.4909443778127257,0.10833259604525246,0.4865319865319865,0.2939945757458349,0.65748031496063,16,0.5340356165459584,0.03183420701870076,0.5233347268673355,0.4967501753355842,0.6158481222038322,16,0.6588281641563593,0.08205057002861987,0.6688815060908084,0.4577464788732394,0.7650174396072859,16,0.17221695350818855,0.09086775761098612,0.15327232445810546,0.0419651448733026,0.3543495610534716,16,0.25999369310204234,0.10937026880748263,0.25172265288544354,0.079324979789814,0.4690966719492868,16,0.4687551455132063,0.12406971822712554,0.4695006747638326,0.2626514611546686,0.6575963718820862,16,0.8958542795837283,0.04496686921164638,0.8947894419801763,0.7829457364341085,0.970513900589722,16,0.6043045193559871,0.10832431166184935,0.5975171825454311,0.4025122883670126,0.7692307692307693,16,0.5677187734720006,0.06427616544850374,0.5739210091715597,0.443302009740037,0.6950153174309068,16,0.5041330578052582,0.15366852328693528,0.5024490238817902,0.2745522884852029,0.7512360911892182,16,0.09167621128263745,0.07681554162691824,0.07209488842463285,-0.0100992870891383,0.2756122769623342,,,,,,,,,,,,,,,,,,,,,,,,
method,logistic_regression,single_model_summary,,False,16,16,0.5538126574248681,0.07179703485373372,0.5683143155941599,0.4379038047379756,0.6678358470712031,16,0.5703406146101639,0.04285640376786012,0.5707888521342386,0.5051487867473698,0.6498476247743838,16,0.6396157963531757,0.08005448932420309,0.6405263157894736,0.5254237288135594,0.750843644544432,16,0.4541522282209024,0.11581878655650182,0.4579322670217041,0.2819672131147541,0.6619718309859155,16,0.5181743404951537,0.07438612946617595,0.5246647429174494,0.3972286374133949,0.654222985053279,16,0.5064260286887055,0.13907462810643367,0.4952697326875624,0.2646623952686052,0.7116564417177914,16,0.6865290009994256,0.08710571071096505,0.6962862879166412,0.4496124031007752,0.8047598060819744,16,0.5695190537930308,0.10438506044938932,0.5496985427288608,0.3722703639514731,0.7293512432123463,16,0.5751595849638381,0.0482319125105651,0.582626342230899,0.4716212606837607,0.6367186836698308,16,0.5018884736590459,0.12712650626651806,0.49960904400101447,0.2750796983353097,0.6781522679975351,16,0.14323153235876207,0.08713429714002333,0.15183526469618214,0.0093212516206543,0.3155665202790366,16.0,0.5064260286887055,0.13907462810643367,0.4952697326875624,0.2646623952686052,0.7116564417177914,16.0,0.6865290009994256,0.08710571071096505,0.6962862879166412,0.4496124031007752,0.8047598060819744,16.0,0.5695190537930308,0.10438506044938932,0.5496985427288608,0.3722703639514731,0.7293512432123463,16.0,0.5751595849638381,0.0482319125105651,0.582626342230899,0.4716212606837607,0.6367186836698308
method,naive_bayes,single_model_summary,,False,16,16,0.4909443778127257,0.10833259604525246,0.4865319865319865,0.2939945757458349,0.65748031496063,16,0.5340356165459584,0.03183420701870076,0.5233347268673355,0.4967501753355842,0.6158481222038322,16,0.6588281641563593,0.08205057002861987,0.6688815060908084,0.4577464788732394,0.7650174396072859,16,0.17221695350818855,0.09086775761098612,0.15327232445810546,0.0419651448733026,0.3543495610534716,16,0.25999369310204234,0.10937026880748263,0.25172265288544354,0.079324979789814,0.4690966719492868,16,0.4687551455132063,0.12406971822712554,0.4695006747638326,0.2626514611546686,0.6575963718820862,16,0.8958542795837283,0.04496686921164638,0.8947894419801763,0.7829457364341085,0.970513900589722,16,0.6043045193559871,0.10832431166184935,0.5975171825454311,0.4025122883670126,0.7692307692307693,16,0.5677187734720006,0.06427616544850374,0.5739210091715597,0.443302009740037,0.6950153174309068,16,0.5041330578052582,0.15366852328693528,0.5024490238817902,0.2745522884852029,0.7512360911892182,16,0.09167621128263745,0.07681554162691824,0.07209488842463285,-0.0100992870891383,0.2756122769623342,16.0,0.4687551455132063,0.12406971822712554,0.4695006747638326,0.2626514611546686,0.6575963718820862,16.0,0.8958542795837283,0.04496686921164638,0.8947894419801763,0.7829457364341085,0.970513900589722,16.0,0.6043045193559871,0.10832431166184935,0.5975171825454311,0.4025122883670126,0.7692307692307693,16.0,0.5677187734720006,0.06427616544850374,0.5739210091715597,0.443302009740037,0.6950153174309068
method,random_forest,single_model_summary,,False,16,16,0.5842608985644838,0.04195534439798337,0.587935786707873,0.5,0.6633858267716536,16,0.5731285367708981,0.045715112571119314,0.5706101904756364,0.4877126973279277,0.6591709674776768,16,0.6194608955584824,0.07385786227499445,0.6095898129366689,0.510250569476082,0.7659990229604299,16,0.6221387107173453,0.08603717218302179,0.6316222254825178,0.4038461538461538,0.7464788732394366,16,0.6149903590699737,0.056216707914983295,0.6138571194792444,0.4883720930232558,0.7205826472450918,16,0.5263117906700302,0.14943279065258452,0.5179168160472353,0.2637959109824498,0.75177304964539,16,0.5241183628244509,0.10181883834259309,0.508677575107296,0.3875968992248062,0.6773162939297125,16,0.517735911451888,0.11438059110692576,0.5009688162276718,0.3211807467782795,0.7126050420168067,16,0.5917734808439452,0.05389142814192491,0.5938553669519753,0.4963942307692308,0.6912673056443024,16,0.5241741852752513,0.14769704903020484,0.5155140610472295,0.2809211247866767,0.7708656986243567,16,0.14595962957197792,0.09083149559692096,0.14796656660839252,-0.0221811694717535,0.3115333551712778,16.0,0.5263117906700302,0.14943279065258452,0.5179168160472353,0.2637959109824498,0.75177304964539,16.0,0.5241183628244509,0.10181883834259309,0.508677575107296,0.3875968992248062,0.6773162939297125,16.0,0.517735911451888,0.11438059110692576,0.5009688162276718,0.3211807467782795,0.7126050420168067,16.0,0.5917734808439452,0.05389142814192491,0.5938553669519753,0.4963942307692308,0.6912673056443024
method,xgboost,single_model_summary,,False,16,16,0.5690342149428974,0.06290733478966394,0.5726763709354885,0.4414931801866475,0.6732283464566929,16,0.5712884137804697,0.049499660962985595,0.5788280624409472,0.4784450236641745,0.6584582616531498,16,0.6261847813422888,0.07050010117376734,0.6290468937356191,0.5309352517985612,0.7486945169712794,16,0.5492139645186009,0.1111439839105585,0.5693642311821185,0.3557692307692308,0.7112676056338029,16,0.5752685478388369,0.0636279009966932,0.5818370332676038,0.4539877300613497,0.7050039297877915,16,0.517074309829998,0.14939550468335028,0.5120861145351225,0.2703788748564868,0.740983606557377,16,0.5933628630423383,0.09949847816890124,0.5758949325894933,0.4031007751937984,0.7377972465581978,16,0.5406890446166153,0.11332549214802998,0.5269914212415894,0.3625866050808314,0.7313915857605178,16,0.5830812982884834,0.05387278249443785,0.5768114192011558,0.4831063034188034,0.6686737118047021,16,0.5112922345267716,0.1433964135326173,0.5032805759568459,0.2750155542335324,0.7307379854892162,16,0.14287803408560334,0.0993433612729231,0.15532768475352354,-0.0422660410654275,0.3188685478307376,16.0,0.517074309829998,0.14939550468335028,0.5120861145351225,0.2703788748564868,0.740983606557377,16.0,0.5933628630423383,0.09949847816890124,0.5758949325894933,0.4031007751937984,0.7377972465581978,16.0,0.5406890446166153,0.11332549214802998,0.5269914212415894,0.3625866050808314,0.7313915857605178,16.0,0.5830812982884834,0.05387278249443785,0.5768114192011558,0.4831063034188034,0.6686737118047021
commit,nested_selection,outer-fold model-family selection,"For each held-out target project, choose the model with the best inner-CV f1; tie-break with inner-CV mcc, then config order.",True,16,16,0.7081117523654886,0.04604015719451524,0.7188221818047453,0.6229508196721312,0.7775551102204409,16,0.6772401948381184,0.030206278492901358,0.6767825419427694,0.6196824009324009,0.7259389376228826,16,0.5702949101652555,0.10084495823898539,0.59665282823041,0.2708333333333333,0.7240802675585284,16,0.6059955869406792,0.09704984463845708,0.5989413015042511,0.4363636363636363,0.873015873015873,16,0.5807085461893224,0.08245101231631331,0.579862721326136,0.3661971830985915,0.6918238993710691,16,0.7846748754611235,0.06351524415561093,0.7992088607594937,0.6196200077549437,0.8795180722891566,16,0.7484848027355577,0.09890950109473022,0.7641033300839596,0.4810126582278481,0.8816067653276956,16,0.7618512081934083,0.06920020414499702,0.7716726370901075,0.608,0.8596713021491783,16,0.7630980911323679,0.05144111641871215,0.7812108178634966,0.6515700483091788,0.8289203084832906,16,0.8540638142428715,0.06591978295540635,0.8744310987423496,0.7045518952379696,0.9491019283315438,16,0.3541891781506943,0.06892861815594975,0.35270659393485354,0.1904107053241536,0.4458316257507287,,,,,,,,,,,,,,,,,,,,,,,,
commit,logistic_regression,single_model_summary,,False,16,16,0.6522413564411693,0.0684517802878709,0.6616087128237949,0.4885496183206106,0.7391304347826086,16,0.6836717965628589,0.053227156956945944,0.6763589459673081,0.5852923447860157,0.7651481645289695,16,0.49773519183126025,0.09384619974781355,0.5101642996379838,0.2179487179487179,0.6569084995050205,16,0.8144991442804214,0.06361438112295945,0.8384313725490196,0.6810344827586207,0.9047619047619048,16,0.6126422097689288,0.08785552665375611,0.6332503113325031,0.3366336633663366,0.7433784108185965,16,0.8468517459089191,0.05661631561724705,0.8623708466026248,0.7279693486590039,0.912621359223301,16,0.5528444488452964,0.12722673735087206,0.5601576404780066,0.2658227848101265,0.7223650385604113,16,0.6617972568787389,0.10845180174071474,0.6781101488632413,0.3962264150943396,0.8017118402282454,16,0.7524888917755632,0.04342976676987968,0.7609838964222779,0.6570048309178744,0.8154195011337869,16,0.844434517939252,0.06778189153911991,0.857866151423115,0.7014175533238095,0.925814189909118,16,0.35425473003027186,0.09141090337774165,0.35617792637418705,0.1351222487989216,0.4919717574374566,16.0,0.8468517459089191,0.05661631561724705,0.8623708466026248,0.7279693486590039,0.912621359223301,16.0,0.5528444488452964,0.12722673735087206,0.5601576404780066,0.2658227848101265,0.7223650385604113,16.0,0.6617972568787389,0.10845180174071474,0.6781101488632413,0.3962264150943396,0.8017118402282454,16.0,0.7524888917755632,0.04342976676987968,0.7609838964222779,0.6570048309178744,0.8154195011337869
commit,naive_bayes,single_model_summary,,False,16,16,0.40173972786512485,0.07673107120584757,0.40430771858895875,0.1984732824427481,0.568195534097767,16,0.5374670232177325,0.025284941696187113,0.5331288299776312,0.5,0.5776232764664642,16,0.3654417714025602,0.08745349069854788,0.3688699360341151,0.1796875,0.5586014275369815,16,0.9910744960644926,0.009711160905363272,0.9940070059691282,0.9715909090909092,1.0,16,0.52795607733144,0.09528474359115217,0.53685540950455,0.304635761589404,0.7155635062611807,16,0.8812321394450517,0.23882456894390303,0.9602492102492102,0.0,1.0,16,0.08385955037097245,0.05267405875136719,0.080216594870969,0.0,0.1825192802056555,16,0.149737436282473,0.08903584727600795,0.14737151338982002,0.0,0.3066954643628509,16,0.6801904469279678,0.06698690880974109,0.6751480123650621,0.5079365079365079,0.7739200943535308,16,0.8081493965503079,0.08455790618032563,0.8339592554890711,0.6345807928546955,0.9116127123210882,16,0.1372662320300145,0.06533521004938461,0.1448077444051524,0.0,0.230878548269805,16.0,0.8812321394450517,0.23882456894390303,0.9602492102492102,0.0,1.0,16.0,0.08385955037097245,0.05267405875136719,0.080216594870969,0.0,0.1825192802056555,16.0,0.149737436282473,0.08903584727600795,0.14737151338982002,0.0,0.3066954643628509,16.0,0.6801904469279678,0.06698690880974109,0.6751480123650621,0.5079365079365079,0.7739200943535308
commit,random_forest,single_model_summary,,False,16,16,0.7081117523654886,0.04604015719451524,0.7188221818047453,0.6229508196721312,0.7775551102204409,16,0.6772401948381184,0.030206278492901358,0.6767825419427694,0.6196824009324009,0.7259389376228826,16,0.5702949101652555,0.10084495823898539,0.59665282823041,0.2708333333333333,0.7240802675585284,16,0.6059955869406792,0.09704984463845708,0.5989413015042511,0.4363636363636363,0.873015873015873,16,0.5807085461893224,0.08245101231631331,0.579862721326136,0.3661971830985915,0.6918238993710691,16,0.7846748754611235,0.06351524415561093,0.7992088607594937,0.6196200077549437,0.8795180722891566,16,0.7484848027355577,0.09890950109473022,0.7641033300839596,0.4810126582278481,0.8816067653276956,16,0.7618512081934083,0.06920020414499702,0.7716726370901075,0.608,0.8596713021491783,16,0.7630980911323679,0.05144111641871215,0.7812108178634966,0.6515700483091788,0.8289203084832906,16,0.8540638142428715,0.06591978295540635,0.8744310987423496,0.7045518952379696,0.9491019283315438,16,0.3541891781506943,0.06892861815594975,0.35270659393485354,0.1904107053241536,0.4458316257507287,16.0,0.7846748754611235,0.06351524415561093,0.7992088607594937,0.6196200077549437,0.8795180722891566,16.0,0.7484848027355577,0.09890950109473022,0.7641033300839596,0.4810126582278481,0.8816067653276956,16.0,0.7618512081934083,0.06920020414499702,0.7716726370901075,0.608,0.8596713021491783,16.0,0.7630980911323679,0.05144111641871215,0.7812108178634966,0.6515700483091788,0.8289203084832906
commit,xgboost,single_model_summary,,False,16,16,0.7090024173700343,0.043987055389561144,0.710245146139287,0.6290983606557377,0.7875751503006012,16,0.6946452767440213,0.03280797159288788,0.6969305084673936,0.636873543123543,0.7606802721088435,16,0.5613095823821578,0.09497274422355362,0.573220064724919,0.2857142857142857,0.7265732886170843,16,0.6765521898005036,0.09668116602990555,0.6669187377370831,0.5363636363636364,0.9206349206349206,16,0.6076397165140416,0.08065882873752046,0.6068261007285398,0.3888888888888889,0.7018580276322058,16,0.810185911455692,0.06445520775887334,0.8224080166506103,0.6423147958136671,0.8902439024390244,16,0.7127383636875392,0.10061857764595811,0.713892554364527,0.430379746835443,0.8586118251928021,16,0.7531547436391313,0.07179908023990018,0.7699914120966752,0.576271186440678,0.8630490956072352,16,0.76717586241003,0.04839959929214388,0.7763895097313496,0.6721026369463869,0.829795918367347,16,0.8571278140355362,0.0614990990767662,0.876582244656745,0.7148106904604092,0.9361496164778342,16,0.379629541524143,0.06924800707210567,0.38602405124072037,0.2237889568137434,0.4965964149640102,16.0,0.810185911455692,0.06445520775887334,0.8224080166506103,0.6423147958136671,0.8902439024390244,16.0,0.7127383636875392,0.10061857764595811,0.713892554364527,0.430379746835443,0.8586118251928021,16.0,0.7531547436391313,0.07179908023990018,0.7699914120966752,0.576271186440678,0.8630490956072352,16.0,0.76717586241003,0.04839959929214388,0.7763895097313496,0.6721026369463869,0.829795918367347
file,nested_selection,outer-fold model-family selection,"For each held-out target project, choose the model with the best inner-CV f1; tie-break with inner-CV mcc, then config order.",True,16,16,0.4715735336350346,0.07652972943192896,0.5016788994078644,0.3289686626452847,0.5988455988455988,16,0.5212667810989418,0.018411997794478805,0.5205751153142246,0.4946278825995807,0.5450367874941116,16,0.6866039335806239,0.049381811985203285,0.6787698412698413,0.5916666666666667,0.7629558541266794,16,0.39113074468742826,0.22071344171298893,0.38961401925981126,0.1074561403508772,0.8847926267281107,16,0.4583409364203781,0.17023586212245842,0.5084679427781164,0.1852551984877126,0.734225621414914,16,0.3580452630396651,0.04984345354133816,0.37513762132406203,0.2582245240353052,0.4263565891472868,16,0.6514028175104554,0.21704735614256315,0.6908974970867527,0.1196911196911196,0.9000528820729773,16,0.43769887968389914,0.08402370691034391,0.4430228525373864,0.1823529411764705,0.528,16,0.5421882386115576,0.02882623804989991,0.5425425802504911,0.4888626834381551,0.6051220964860037,16,0.37643726263268074,0.06448384224067825,0.3816451539465606,0.2633586310458327,0.5208534016048225,16,0.04332413585279622,0.03654534069962613,0.04670428272459295,-0.0112509722036418,0.0904363899851433,,,,,,,,,,,,,,,,,,,,,,,,
file,logistic_regression,single_model_summary,,False,16,16,0.5094331679433185,0.0458991149995783,0.5074376457355181,0.425,0.5988455988455988,16,0.5294018394417348,0.018287844402965006,0.537084415552078,0.4946278825995807,0.5568710089399744,16,0.6925837004232508,0.0465372083543811,0.6825396825396826,0.5916666666666667,0.7676087274857226,16,0.4794880519611673,0.1612603922035875,0.4266671950961741,0.1764705882352941,0.8847926267281107,16,0.5482036834479563,0.0994435174236725,0.5240797026242772,0.28125,0.734225621414914,16,0.3649751994737,0.04802443311365386,0.37803410755388156,0.2698592460766866,0.4263565891472868,16,0.5793156269223023,0.17397702868893047,0.6370536961003928,0.1196911196911196,0.8620689655172413,16,0.4299331379759473,0.08316862949483451,0.4253859848816508,0.1823529411764705,0.528,16,0.5411921386418362,0.02927045678116191,0.5425425802504911,0.4888626834381551,0.6051220964860037,16,0.3758368136656302,0.062087139101370155,0.3816451539465606,0.2758875325024561,0.5208534016048225,16,0.05795623527643217,0.03548479776807934,0.0683822975234082,-0.0112509722036418,0.1062720641581332,16.0,0.3649751994737,0.04802443311365386,0.37803410755388156,0.2698592460766866,0.4263565891472868,16.0,0.5793156269223023,0.17397702868893047,0.6370536961003928,0.1196911196911196,0.8620689655172413,16.0,0.4299331379759473,0.08316862949483451,0.4253859848816508,0.1823529411764705,0.528,16.0,0.5411921386418362,0.02927045678116191,0.5425425802504911,0.4888626834381551,0.6051220964860037
