target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.4847626585072076,0.05063249805450885,16,0,,,0.47474747474747475,0.5105866234898493,0.64,0.3686635944700461,0.4678362573099415,0.38148984198645597,0.6525096525096525,0.48148148148148145,0.38148984198645597,0.6525096525096525,0.48148148148148145,0.021330957126531595,0.5223119762290269,0.5223119762290269,0.39097229403069933,160,274,90,169,693,434,259,0.37373737373737376,250,443,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.37373737373737376,smote
caddy,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.4159678321068751,0.049880258344449584,16,0,,,0.6161616161616161,0.5106177606177607,0.6316614420062696,0.9285714285714286,0.7518656716417911,0.43636363636363634,0.09266409266409266,0.15286624203821655,0.43636363636363634,0.09266409266409266,0.15286624203821655,0.038007209793302826,0.526648933330961,0.526648933330961,0.39869122821733877,403,31,235,24,693,434,259,0.37373737373737376,638,55,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.37373737373737376,smote
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.46919676143341066,0.05778696125844126,16,0,,,0.3875,0.5121703853955375,0.75,0.058823529411764705,0.10909090909090909,0.3684210526315789,0.9655172413793104,0.5333333333333333,0.3684210526315789,0.9655172413793104,0.5333333333333333,0.053688543460808265,0.5141987829614605,0.5141987829614605,0.35391292097470645,3,48,1,28,80,51,29,0.3625,4,76,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,smote
compose,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.4090905832142421,0.06210227522477309,16,0,,,0.4,0.5070993914807302,0.6666666666666666,0.11764705882352941,0.2,0.36619718309859156,0.896551724137931,0.52,0.36619718309859156,0.896551724137931,0.52,0.02160154323410585,0.5486815415821501,0.5486815415821501,0.43817860299941974,6,45,3,26,80,51,29,0.3625,9,71,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,smote
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5004965745995591,0.06350166922183803,16,0,,,0.38562091503267976,0.4784029038112522,0.5294117647058824,0.09473684210526316,0.16071428571428573,0.36764705882352944,0.8620689655172413,0.5154639175257731,0.36764705882352944,0.8620689655172413,0.5154639175257731,-0.06668178896847547,0.5421052631578946,0.5421052631578946,0.4501460449220942,9,86,8,50,153,95,58,0.3790849673202614,17,136,file,15,41003,11863,29140,0.289320293637051,153,58,95,0.3790849673202614,smote
consul,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.4113122018362185,0.056492130415600285,16,0,,,0.5294117647058824,0.5136116152450091,0.632183908045977,0.5789473684210527,0.6043956043956044,0.3939393939393939,0.4482758620689655,0.41935483870967744,0.3939393939393939,0.4482758620689655,0.41935483870967744,0.026667595900420085,0.5330308529945553,0.5330308529945553,0.3968626566402725,55,40,32,26,153,95,58,0.3790849673202614,87,66,file,15,41003,11863,29140,0.289320293637051,153,58,95,0.3790849673202614,smote
fiber,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5047773836118511,0.029048803041514467,16,0,,,0.35798816568047337,0.501774322169059,0.6833333333333333,0.08991228070175439,0.15891472868217055,0.3262987012987013,0.9136363636363637,0.48086124401913877,0.3262987012987013,0.9136363636363637,0.48086124401913877,0.0058464232793671725,0.4958831738437002,0.4958831738437002,0.313787560066637,41,415,19,201,676,456,220,0.3254437869822485,60,616,file,15,40480,11701,28779,0.28905632411067195,676,220,456,0.3254437869822485,smote
fiber,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.41058164422541127,0.06064499335038735,16,0,,,0.46893491124260356,0.4957934609250399,0.6701754385964912,0.41885964912280704,0.5155195681511471,0.32225063938618925,0.5727272727272728,0.41243862520458263,0.32225063938618925,0.5727272727272728,0.41243862520458263,-0.007982480681662232,0.4886862041467305,0.4886862041467305,0.34035084573799423,191,265,94,126,676,456,220,0.3254437869822485,285,391,file,15,40480,11701,28779,0.28905632411067195,676,220,456,0.3254437869822485,smote
gin,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.39048518198471666,0.022012691276299633,16,0,,,0.5378151260504201,0.6031864204883859,0.8214285714285714,0.3150684931506849,0.45544554455445546,0.45054945054945056,0.8913043478260869,0.5985401459854015,0.45054945054945056,0.8913043478260869,0.5985401459854015,0.23691533736515943,0.6319237641453246,0.6319237641453246,0.4536731530297597,23,50,5,41,119,73,46,0.3865546218487395,28,91,file,15,41037,11875,29162,0.28937300484928236,119,46,73,0.3865546218487395,smote
gin,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.40441207769990956,0.04923908799174948,16,0,,,0.6302521008403361,0.6262656343061346,0.7230769230769231,0.6438356164383562,0.6811594202898551,0.5185185185185185,0.6086956521739131,0.56,0.5185185185185185,0.6086956521739131,0.56,0.247002840787385,0.6834425253126861,0.6834425253126861,0.5888211536679153,47,26,18,28,119,73,46,0.3865546218487395,65,54,file,15,41037,11875,29162,0.28937300484928236,119,46,73,0.3865546218487395,smote
gitea,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.49636125688491717,0.06766045163400897,16,0,,,0.35329060497108017,0.495362070417653,0.7348848975461675,0.20360246705915336,0.31886285055704955,0.25429846436540227,0.7871216737761527,0.38440553543971034,0.25429846436540227,0.7871216737761527,0.38440553543971034,-0.010016666688262258,0.5051992939658746,0.5051992939658746,0.25992298255468066,2905,11363,1048,3875,19191,14268,4923,0.2565264967953728,3953,15238,file,15,21965,6998,14967,0.3185977691782381,19191,4923,14268,0.2565264967953728,smote
gitea,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.41128024977059874,0.06761228142105298,16,0,,,0.42446980355374914,0.5130310610141341,0.7587923558696001,0.3311606391925988,0.46108807026103926,0.26388460351743287,0.6949014828356693,0.38251243920165484,0.26388460351743287,0.6949014828356693,0.38251243920165484,0.02431069070954042,0.5130431550275704,0.5130431550275704,0.2667003605753835,4725,9543,1502,3421,19191,14268,4923,0.2565264967953728,6227,12964,file,15,21965,6998,14967,0.3185977691782381,19191,4923,14268,0.2565264967953728,smote
grafana,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.42058749020372943,0.03238318550892725,16,0,,,0.5420425839047275,0.4957057681369761,0.7225225225225225,0.5985074626865672,0.6546938775510204,0.27034358047016277,0.392904073587385,0.32029994643813603,0.27034358047016277,0.392904073587385,0.32029994643813603,-0.007827465469274434,0.5056014278149332,0.5056014278149332,0.26727419986908324,1203,807,462,299,2771,2010,761,0.27463009743774813,1665,1106,file,15,38385,11160,27225,0.29073856975381007,2771,761,2010,0.27463009743774813,smote
grafana,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.41659489431582813,0.05918206075157658,16,0,,,0.4110429447852761,0.5172743379031256,0.7506631299734748,0.281592039800995,0.40955137481910275,0.2840852751611304,0.7529566360052562,0.41252699784017277,0.2840852751611304,0.7529566360052562,0.41252699784017277,0.034648396554238285,0.5311755937788063,0.5311755937788063,0.2904349624317015,566,1444,188,573,2771,2010,761,0.27463009743774813,754,2017,file,15,38385,11160,27225,0.29073856975381007,2771,761,2010,0.27463009743774813,smote
influxdb,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.41193490203682004,0.041527569178161285,16,0,,,0.6671732522796353,0.4978290967491832,0.7026578073089701,0.9136069114470843,0.7943661971830986,0.2857142857142857,0.08205128205128205,0.12749003984063745,0.2857142857142857,0.08205128205128205,0.12749003984063745,-0.007105358689891731,0.5165254471949936,0.5165254471949936,0.30159570084779685,423,40,179,16,658,463,195,0.29635258358662614,602,56,file,15,40498,11726,28772,0.28954516272408515,658,195,463,0.29635258358662614,smote
influxdb,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.4110768457167845,0.04805096308439964,16,0,,,0.601823708206687,0.5211496926399735,0.7161290322580646,0.7192224622030238,0.7176724137931034,0.32642487046632124,0.3230769230769231,0.3247422680412371,0.32642487046632124,0.3230769230769231,0.3247422680412371,0.04242645314546306,0.5415794428753392,0.5415794428753392,0.33837970297510456,333,130,132,63,658,463,195,0.29635258358662614,465,193,file,15,40498,11726,28772,0.28954516272408515,658,195,463,0.29635258358662614,smote
kubernetes,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.3910982754662695,0.027404980997192442,16,0,,,0.457002457002457,0.5362624213100255,0.7126436781609196,0.24031007751937986,0.35942028985507246,0.3875,0.8322147651006712,0.5287846481876333,0.3875,0.8322147651006712,0.5287846481876333,0.08522267596135272,0.5202642942614848,0.5202642942614848,0.38486832136661897,62,196,25,124,407,258,149,0.36609336609336607,87,320,file,15,40749,11772,28977,0.28889052492085693,407,149,258,0.36609336609336607,smote
kubernetes,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.4067593186830117,0.048069007059222874,16,0,,,0.5921375921375921,0.5421934342646064,0.6619718309859155,0.7286821705426356,0.6937269372693727,0.43089430894308944,0.35570469798657717,0.3897058823529412,0.43089430894308944,0.35570469798657717,0.3897058823529412,0.088525040192052,0.553639248738359,0.553639248738359,0.40238388504371325,188,70,96,53,407,258,149,0.36609336609336607,284,123,file,15,40749,11772,28977,0.28889052492085693,407,149,258,0.36609336609336607,smote
