target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.6032778242834612,0.09573166413370959,5,0,,,0.5446489434219496,0.5448782763530116,0.6375,0.20844686648501362,0.3141683778234086,0.5264873675631622,0.8813096862210096,0.6591836734693878,0.5264873675631622,0.8813096862210096,0.6591836734693878,0.12132164192675995,0.58187211675359,0.58187211675359,0.5598833409313371,153,581,87,646,1467,734,733,0.4996591683708248,240,1227,method,15,126560,48055,78505,0.37970132743362833,1467,733,734,0.4996591683708248,smote
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.6025059420858035,0.0963093753185901,5,0,,,0.5535055350553506,0.5668468173381374,0.6721311475409836,0.2887323943661972,0.4039408866995074,0.5190476190476191,0.8449612403100775,0.6430678466076696,0.5190476190476191,0.8449612403100775,0.6430678466076696,0.15987302517359656,0.5933780980456382,0.5933780980456382,0.5435639941833924,41,101,20,109,271,142,129,0.47601476014760147,61,210,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.47601476014760147,smote
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5989998487074032,0.09795386933182462,5,0,,,0.5833333333333334,0.5368357487922705,0.5604395604395604,0.18478260869565216,0.2779291553133515,0.5871559633027523,0.8888888888888888,0.7071823204419889,0.5871559633027523,0.8888888888888888,0.7071823204419889,0.10427647515557316,0.6213868760064412,0.6213868760064412,0.6806574019061855,51,225,40,320,636,276,360,0.5660377358490566,91,545,method,15,127391,48428,78963,0.38015244405020765,636,360,276,0.5660377358490566,smote
fiber,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5937188486639771,0.07312405130613973,5,0,,,0.5981075697211156,0.5156619570314624,0.5777777777777777,0.06333739342265529,0.1141602634467618,0.5990615224191866,0.9679865206402696,0.740096618357488,0.5990615224191866,0.9679865206402696,0.740096618357488,0.07442646735078516,0.580552411580182,0.580552411580182,0.6355988666682453,52,769,38,1149,2008,821,1187,0.5911354581673307,90,1918,method,15,126019,47601,78418,0.37772875518770976,2008,1187,821,0.5911354581673307,smote
gin,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.6094816638299246,0.09882620028534678,5,0,,,0.4431818181818182,0.5053418803418803,0.6071428571428571,0.16346153846153846,0.25757575757575757,0.41216216216216217,0.8472222222222222,0.5545454545454546,0.41216216216216217,0.8472222222222222,0.5545454545454546,0.014361413797053767,0.5275774572649572,0.5275774572649572,0.4199055460006348,17,87,11,61,176,104,72,0.4090909090909091,28,148,method,15,127851,48716,79135,0.3810373012334671,176,72,104,0.4090909090909091,smote
gitea,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.607344489900102,0.09487840741306791,5,0,,,0.4463675489960655,0.540243240517831,0.7668386556965555,0.16269712121660404,0.26844032218696606,0.39743644338457607,0.917789359819058,0.5546772851539284,0.39743644338457607,0.917789359819058,0.5546772851539284,0.1149866281218168,0.5145588432673532,0.5145588432673532,0.3732752109408429,5499,28300,1672,18666,54137,33799,20338,0.3756765243733491,7171,46966,method,15,73890,28450,45440,0.38503180403302206,54137,20338,33799,0.3756765243733491,smote
grafana,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.6097182937129132,0.09952329164901336,5,0,,,0.423338432772395,0.5321002891902392,0.7461333333333333,0.1814997405293202,0.29197537305645416,0.362147406733394,0.8827008378511582,0.5135852032403757,0.362147406733394,0.8827008378511582,0.5135852032403757,0.08337677218356522,0.5887030059467253,0.5887030059467253,0.40167599613849686,1399,6309,476,3582,11766,7708,4058,0.34489206187319393,1875,9891,method,15,116261,44730,71531,0.38473778825229443,11766,4058,7708,0.34489206187319393,smote
influxdb,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5974894453777571,0.08387667636825943,5,0,,,0.6373202385128025,0.597469951965096,0.7417218543046358,0.2681564245810056,0.3939038686987104,0.6175979983319433,0.9267834793491865,0.7412412412412412,0.6175979983319433,0.9267834793491865,0.7412412412412412,0.26466162841104396,0.696897408672253,0.696897408672253,0.7000924645677242,336,917,117,1481,2851,1253,1598,0.5605050859347598,453,2398,method,15,125176,47190,77986,0.37698919920751583,2851,1598,1253,0.5605050859347598,smote
kubernetes,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.6018018915344506,0.0961720018557022,5,0,,,0.522633744855967,0.5012069612304481,0.47651006711409394,0.12390924956369982,0.19667590027700832,0.5290806754221389,0.8785046728971962,0.6604215456674473,0.5290806754221389,0.8785046728971962,0.6604215456674473,0.0036736383846671006,0.5813992051453518,0.5813992051453518,0.6067538054429913,71,502,78,564,1215,573,642,0.528395061728395,149,1066,method,15,126812,48146,78666,0.37966438507396777,1215,642,573,0.528395061728395,smote
minio,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5960273390233606,0.08884037579521582,5,0,,,0.6038230884557722,0.5662190310961858,0.6297098310957124,0.24711080897348742,0.3549371414622238,0.5984044964191823,0.8853272532188842,0.7141234380916319,0.5984044964191823,0.8853272532188842,0.7141234380916319,0.1738131741105623,0.62247135380956,0.62247135380956,0.6282658081040948,1454,4430,855,6601,13340,5884,7456,0.5589205397301349,2309,11031,method,15,114687,41332,73355,0.3603895820799219,13340,7456,5884,0.5589205397301349,smote
