target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.1516801542802519,0.1366509016757665,14,0,,,0.4343434343434343,0.5112219451371571,0.4269005847953216,1.0,0.5983606557377049,1.0,0.0224438902743142,0.0439024390243902,1.0,0.0224438902743142,0.0439024390243902,0.097884165640755,0.640752570628224,0.640752570628224,0.7546914579060722,292,0,392,9,693,292,401,0.5786435786435786,684,9,commit,15,27360,15617,11743,0.5707967836257309,693,401,292,0.5786435786435786,none
caddy,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.6616470524714159,0.3565812814130333,14,0,,,0.6363636363636364,0.6676331431694735,0.5429184549356223,0.8664383561643836,0.6675461741424802,0.8281938325991189,0.4688279301745636,0.5987261146496815,0.8281938325991189,0.4688279301745636,0.5987261146496815,0.3527342320452102,0.7438979605780071,0.7438979605780071,0.8073402809896444,253,39,213,188,693,292,401,0.5786435786435786,466,227,commit,15,27360,15617,11743,0.5707967836257309,693,401,292,0.5786435786435786,none
caddy,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.776527327071435,0.3395243465625179,14,0,,,0.6796536796536796,0.6724584087725891,0.6182432432432432,0.6267123287671232,0.6224489795918368,0.72544080604534,0.7182044887780549,0.7218045112781954,0.72544080604534,0.7182044887780549,0.7218045112781954,0.34429988167534753,0.7510333754654459,0.7510333754654459,0.8275816106299614,183,109,113,288,693,292,401,0.5786435786435786,296,397,commit,15,27360,15617,11743,0.5707967836257309,693,401,292,0.5786435786435786,none
caddy,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",0.7735383638280093,0.38232252034615655,14,0,,,0.6897546897546898,0.6974771974174154,0.6072423398328691,0.7465753424657534,0.6697388632872504,0.7784431137724551,0.6483790523690773,0.7074829931972789,0.7784431137724551,0.6483790523690773,0.7074829931972789,0.3902924095153376,0.7655903050592696,0.7655903050592696,0.834972628422515,218,74,141,260,693,292,401,0.5786435786435786,359,334,commit,15,27360,15617,11743,0.5707967836257309,693,401,292,0.5786435786435786,none
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.15304247956978903,0.1396769708870305,14,0,,,0.1984732824427481,0.5138888888888888,0.1796875,1.0,0.304635761589404,1.0,0.027777777777777776,0.05405405405405406,1.0,0.027777777777777776,0.05405405405405406,0.07064927065755489,0.6147342995169082,0.6147342995169082,0.8884800273713014,23,0,105,3,131,23,108,0.8244274809160306,128,3,commit,15,27922,15910,12012,0.5698015901439725,131,108,23,0.8244274809160306,none
compose,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.6650775056207507,0.36689737922385546,14,0,,,0.48854961832061067,0.5871578099838969,0.21794871794871795,0.7391304347826086,0.33663366336633666,0.8867924528301887,0.4351851851851852,0.5838509316770186,0.8867924528301887,0.4351851851851852,0.5838509316770186,0.13512224879892165,0.6682769726247987,0.6682769726247987,0.9053154389492964,17,6,61,47,131,23,108,0.8244274809160306,78,53,commit,15,27922,15910,12012,0.5698015901439725,131,108,23,0.8244274809160306,none
compose,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7718758037082336,0.34952903672879937,14,0,,,0.6946564885496184,0.626610305958132,0.2926829268292683,0.5217391304347826,0.375,0.8777777777777778,0.7314814814814815,0.797979797979798,0.8777777777777778,0.7314814814814815,0.797979797979798,0.20775987083234757,0.68317230273752,0.68317230273752,0.9049455001509339,12,11,29,79,131,23,108,0.8244274809160306,41,90,commit,15,27922,15910,12012,0.5698015901439725,131,108,23,0.8244274809160306,none
compose,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 300, ""model__subsample"": 1.0}",0.7706835535127833,0.40208423148925176,14,0,,,0.6717557251908397,0.6127214170692432,0.2727272727272727,0.5217391304347826,0.3582089552238806,0.8735632183908046,0.7037037037037037,0.7794871794871795,0.8735632183908046,0.7037037037037037,0.7794871794871795,0.1816043582218511,0.6743156199677939,0.6743156199677939,0.9049343314989522,12,11,32,76,131,23,108,0.8244274809160306,44,87,commit,15,27922,15910,12012,0.5698015901439725,131,108,23,0.8244274809160306,none
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.14142764332795166,0.13116931487436959,14,0,,,0.3695652173913043,0.5639097744360902,0.30538922155688625,1.0,0.46788990825688076,1.0,0.12781954887218044,0.22666666666666666,1.0,0.12781954887218044,0.22666666666666666,0.19757204389747948,0.7730355300014743,0.7730355300014743,0.9087562517790864,51,0,116,17,184,51,133,0.7228260869565217,167,17,commit,15,27869,15885,11984,0.5699881588862177,184,133,51,0.7228260869565217,none
consul,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.6524471205324178,0.3509487242401147,14,0,,,0.7228260869565217,0.7478254459678608,0.5,0.803921568627451,0.6165413533834586,0.9019607843137255,0.6917293233082706,0.7829787234042553,0.9019607843137255,0.6917293233082706,0.7829787234042553,0.44635436736776785,0.7834291611381395,0.7834291611381395,0.9095125837254849,41,10,41,92,184,51,133,0.7228260869565217,82,102,commit,15,27869,15885,11984,0.5699881588862177,184,133,51,0.7228260869565217,none
