target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.14752219139939662,-0.007000029872295296,23,0,,,0.6262626262626263,0.5,0.6262626262626263,1.0,0.7701863354037267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5216892336708006,0.5216892336708006,0.38672672846845085,434,0,259,0,693,434,259,0.37373737373737376,693,0,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.37373737373737376,none
caddy,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.43933950047484766,0.050728177309483743,23,0,,,0.5959595959595959,0.49993772574417733,0.6262295081967213,0.880184331797235,0.7318007662835249,0.37349397590361444,0.11969111969111969,0.18128654970760233,0.37349397590361444,0.11969111969111969,0.18128654970760233,-0.00018557921152283498,0.5255146522427628,0.5255146522427628,0.3921089347458239,382,52,228,31,693,434,259,0.37373737373737376,610,83,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.37373737373737376,none
caddy,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.4537660677332887,0.04839041158476832,23,0,,,0.3722943722943723,0.46771079835595963,0.4936708860759494,0.08986175115207373,0.15204678362573099,0.3566775244299674,0.8455598455598455,0.5017182130584192,0.3566775244299674,0.8455598455598455,0.5017182130584192,-0.09830697177235807,0.5110892656975606,0.5110892656975606,0.43509249685390683,39,395,40,219,693,434,259,0.37373737373737376,79,614,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.37373737373737376,none
caddy,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 300, ""model__subsample"": 0.8}",0.11537926738149878,0.032450518809577375,23,0,,,0.6031746031746031,0.5002490970232906,0.6263910969793323,0.9078341013824884,0.7412982126058325,0.375,0.09266409266409266,0.14860681114551083,0.375,0.09266409266409266,0.14860681114551083,0.0008324879778833748,0.5593028841876769,0.5593028841876769,0.4080660416545312,394,40,235,24,693,434,259,0.37373737373737376,629,64,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.37373737373737376,none
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.15415203275035663,-0.008826804047089973,23,0,,,0.6375,0.5,0.6375,1.0,0.7786259541984732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5338066260987153,0.5338066260987153,0.37868918876076085,51,0,29,0,80,51,29,0.3625,80,0,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,none
compose,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.42441207546200865,0.05225812394278955,23,0,,,0.4125,0.5169033130493577,0.7,0.13725490196078433,0.22950819672131148,0.37142857142857144,0.896551724137931,0.5252525252525253,0.37142857142857144,0.896551724137931,0.5252525252525253,0.04914019746654562,0.5317782285327924,0.5317782285327924,0.4416493484980116,7,44,3,26,80,51,29,0.3625,10,70,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,none
compose,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.4558938479648718,0.0517551464945304,23,0,,,0.4,0.48478701825557813,0.6,0.17647058823529413,0.2727272727272727,0.35384615384615387,0.7931034482758621,0.48936170212765956,0.35384615384615387,0.7931034482758621,0.48936170212765956,-0.03747366058909427,0.5202839756592292,0.5202839756592292,0.40659390339789964,9,42,6,23,80,51,29,0.3625,15,65,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,none
compose,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 300, ""model__subsample"": 0.8}",0.11880476278539168,0.026330772941451745,23,0,,,0.5625,0.47092630155510484,0.6212121212121212,0.803921568627451,0.7008547008547008,0.2857142857142857,0.13793103448275862,0.18604651162790697,0.2857142857142857,0.13793103448275862,0.18604651162790697,-0.07356620933831688,0.5047329276538202,0.5047329276538202,0.3766419297391005,41,10,25,4,80,51,29,0.3625,66,14,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,none
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.14630737676714087,-0.010919650385577618,23,0,,,0.6078431372549019,0.5129764065335753,0.6277372262773723,0.9052631578947369,0.7413793103448276,0.4375,0.1206896551724138,0.1891891891891892,0.4375,0.1206896551724138,0.1891891891891892,0.041147169265893,0.5633393829401089,0.5633393829401089,0.45789562312052023,86,9,51,7,153,95,58,0.3790849673202614,137,16,file,15,41003,11863,29140,0.289320293637051,153,58,95,0.3790849673202614,none
consul,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.42500179401404,0.048793885437570066,23,0,,,0.5228758169934641,0.5486388384754991,0.6774193548387096,0.4421052631578947,0.535031847133758,0.4175824175824176,0.6551724137931034,0.5100671140939598,0.4175824175824176,0.6551724137931034,0.5100671140939598,0.09613298979723175,0.5756805807622505,0.5756805807622505,0.44466726361735964,42,53,20,38,153,95,58,0.3790849673202614,62,91,file,15,41003,11863,29140,0.289320293637051,153,58,95,0.3790849673202614,none
