target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.554666715419304,0.08387073057785618,9,0,,,0.5650988411724608,0.5652761411243407,0.6363636363636364,0.30517711171662126,0.4125230202578269,0.5426008968609866,0.82537517053206,0.6547619047619048,0.5426008968609866,0.82537517053206,0.6547619047619048,0.15285361707870856,0.5784131503916197,0.5784131503916197,0.5574501654889351,224,510,128,605,1467,734,733,0.4996591683708248,352,1115,method,15,126560,48055,78505,0.37970132743362833,1467,733,734,0.4996591683708248,none
caddy,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.5663359381445777,0.14592560274838348,9,0,,,0.5446489434219496,0.5447779087100527,0.5723684210526315,0.3555858310626703,0.43865546218487395,0.5321463897131553,0.7339699863574352,0.6169724770642202,0.5321463897131553,0.7339699863574352,0.6169724770642202,0.0967466242854896,0.5559298690388126,0.5559298690388126,0.5332577772554626,261,473,195,538,1467,734,733,0.4996591683708248,456,1011,method,15,126560,48055,78505,0.37970132743362833,1467,733,734,0.4996591683708248,none
caddy,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.5122297818695194,0.13973883244935312,9,0,,,0.5794137695978187,0.5794363427517835,0.5854014598540146,0.5463215258855586,0.5651867512332629,0.5741687979539642,0.6125511596180082,0.5927392739273928,0.5741687979539642,0.6125511596180082,0.5927392739273928,0.15922108963466516,0.5951810520759374,0.5951810520759374,0.5896746382915284,401,333,284,449,1467,734,733,0.4996591683708248,685,782,method,15,126560,48055,78505,0.37970132743362833,1467,733,734,0.4996591683708248,none
caddy,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 300, ""model__subsample"": 0.8}",0.20347579713637073,0.07121927449607003,9,0,,,0.5228357191547376,0.5225855076558208,0.5133647798742138,0.8896457765667575,0.6510468594217348,0.5846153846153846,0.15552523874488403,0.24568965517241378,0.5846153846153846,0.15552523874488403,0.24568965517241378,0.06652716370323335,0.5778072272137571,0.5778072272137571,0.5702730766858329,653,81,619,114,1467,734,733,0.4996591683708248,1272,195,method,15,126560,48055,78505,0.37970132743362833,1467,733,734,0.4996591683708248,none
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5559273188079492,0.0833497276302595,9,0,,,0.5608856088560885,0.571760017469156,0.6533333333333333,0.34507042253521125,0.45161290322580644,0.5255102040816326,0.7984496124031008,0.6338461538461538,0.5255102040816326,0.7984496124031008,0.6338461538461538,0.16021120665636107,0.6069712850747898,0.6069712850747898,0.5628336123214948,49,93,26,103,271,142,129,0.47601476014760147,75,196,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.47601476014760147,none
compose,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.5748371116311048,0.14539219936555278,9,0,,,0.5608856088560885,0.5557921170433453,0.5696969696969697,0.6619718309859155,0.6123778501628665,0.5471698113207547,0.4496124031007752,0.49361702127659574,0.5471698113207547,0.4496124031007752,0.49361702127659574,0.11419496595752275,0.5907577246424282,0.5907577246424282,0.5724020281255398,94,48,71,58,271,142,129,0.47601476014760147,165,106,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.47601476014760147,none
compose,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.5229271693120217,0.14864370944606847,9,0,,,0.5682656826568265,0.5596407904793099,0.5675675675675675,0.7394366197183099,0.6422018348623854,0.5697674418604651,0.3798449612403101,0.4558139534883721,0.5697674418604651,0.3798449612403101,0.4558139534883721,0.12799037872255364,0.5884103068020525,0.5884103068020525,0.5888061227365212,105,37,80,49,271,142,129,0.47601476014760147,185,86,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.47601476014760147,none
compose,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 300, ""model__subsample"": 0.8}",0.20435511579772941,0.07423557380199232,9,0,,,0.5571955719557196,0.5394966699421334,0.5466101694915254,0.9084507042253521,0.6825396825396826,0.6285714285714286,0.17054263565891473,0.2682926829268293,0.6285714285714286,0.17054263565891473,0.2682926829268293,0.11763579182058471,0.5789387487716999,0.5789387487716999,0.5721626156524815,129,13,107,22,271,142,129,0.47601476014760147,236,35,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.47601476014760147,none
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.551738587006558,0.08605755397181794,9,0,,,0.5864779874213837,0.5489130434782609,0.5488721804511278,0.2644927536231884,0.3569682151589242,0.5964214711729622,0.8333333333333334,0.6952491309385863,0.5964214711729622,0.8333333333333334,0.6952491309385863,0.11922042357754316,0.6034923510466988,0.6034923510466988,0.6672060387634839,73,203,60,300,636,276,360,0.5660377358490566,133,503,method,15,127391,48428,78963,0.38015244405020765,636,360,276,0.5660377358490566,none
consul,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.5645883266727016,0.1374958564223711,9,0,,,0.6147798742138365,0.6144927536231884,0.5504885993485342,0.6123188405797102,0.5797598627787307,0.6747720364741642,0.6166666666666667,0.6444121915820029,0.6747720364741642,0.6166666666666667,0.6444121915820029,0.22711543531099318,0.6062952898550724,0.6062952898550724,0.6340768081942652,169,107,138,222,636,276,360,0.5660377358490566,307,329,method,15,127391,48428,78963,0.38015244405020765,636,360,276,0.5660377358490566,none
