target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.1536049994570204,0.1381419348070781,14,0,,,0.4357864357864358,0.5124688279301746,0.4275256222547584,1.0,0.598974358974359,1.0,0.0249376558603491,0.048661800486618,1.0,0.0249376558603491,0.048661800486618,0.1032544761222039,0.6419140504902128,0.6419140504902128,0.756000889711682,292,0,391,10,693,292,401,0.5786435786435786,683,10,commit,15,27360,15617,11743,0.5707967836257309,693,401,292,0.5786435786435786,random_over
caddy,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.6640569253126382,0.3551546963975663,14,0,,,0.6392496392496393,0.6715232466778259,0.5446808510638298,0.8767123287671232,0.6719160104986877,0.8385650224215246,0.4663341645885286,0.5993589743589743,0.8385650224215246,0.4663341645885286,0.5993589743589743,0.3625895103173486,0.7446665869572644,0.7446665869572644,0.8089617182144194,256,36,214,187,693,292,401,0.5786435786435786,470,223,commit,15,27360,15617,11743,0.5707967836257309,693,401,292,0.5786435786435786,random_over
caddy,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.7690054911090746,0.3398340458818184,14,0,,,0.6753246753246753,0.6696486523417484,0.6105610561056105,0.6335616438356164,0.6218487394957983,0.7256410256410256,0.7057356608478803,0.7155499367888748,0.7256410256410256,0.7057356608478803,0.7155499367888748,0.3377461475214992,0.7482492399139138,0.7482492399139138,0.825448623852537,185,107,118,283,693,292,401,0.5786435786435786,303,390,commit,15,27360,15617,11743,0.5707967836257309,693,401,292,0.5786435786435786,random_over
caddy,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 300, ""model__subsample"": 0.8}",0.7505734984903041,0.3687074912328817,14,0,,,0.6767676767676768,0.6867206982543641,0.5918918918918918,0.75,0.6616314199395771,0.7739938080495357,0.6234413965087282,0.6906077348066298,0.7739938080495357,0.6234413965087282,0.6906077348066298,0.3696442434946068,0.7458579578451132,0.7458579578451132,0.8202991080540216,219,73,151,250,693,292,401,0.5786435786435786,370,323,commit,15,27360,15617,11743,0.5707967836257309,693,401,292,0.5786435786435786,random_over
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.1568572568010381,0.1414362943015552,14,0,,,0.1984732824427481,0.5138888888888888,0.1796875,1.0,0.304635761589404,1.0,0.0277777777777777,0.054054054054054,1.0,0.0277777777777777,0.054054054054054,0.0706492706575548,0.6175523349436393,0.6175523349436393,0.8888867801974216,23,0,105,3,131,23,108,0.8244274809160306,128,3,commit,15,27922,15910,12012,0.5698015901439725,131,108,23,0.8244274809160306,random_over
compose,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.6640225194945216,0.3651050969193576,14,0,,,0.4885496183206106,0.5871578099838969,0.2179487179487179,0.7391304347826086,0.3366336633663366,0.8867924528301887,0.4351851851851852,0.5838509316770186,0.8867924528301887,0.4351851851851852,0.5838509316770186,0.1351222487989216,0.6566022544283414,0.6566022544283414,0.900977656875773,17,6,61,47,131,23,108,0.8244274809160306,78,53,commit,15,27922,15910,12012,0.5698015901439725,131,108,23,0.8244274809160306,random_over
compose,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.7679292178931585,0.364345986013678,14,0,,,0.648854961832061,0.5817230273752013,0.2444444444444444,0.4782608695652174,0.3235294117647059,0.8604651162790697,0.6851851851851852,0.7628865979381443,0.8604651162790697,0.6851851851851852,0.7628865979381443,0.1309467594324357,0.6747181964573269,0.6747181964573269,0.9054137423949352,11,12,34,74,131,23,108,0.8244274809160306,45,86,commit,15,27922,15910,12012,0.5698015901439725,131,108,23,0.8244274809160306,random_over
compose,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 300, ""model__subsample"": 1.0}",0.7478042158170218,0.3935903143800849,14,0,,,0.6183206106870229,0.5803140096618358,0.2352941176470588,0.5217391304347826,0.3243243243243243,0.8625,0.6388888888888888,0.7340425531914894,0.8625,0.6388888888888888,0.7340425531914894,0.1253334569025891,0.6493558776167473,0.6493558776167473,0.8991974285707895,12,11,39,69,131,23,108,0.8244274809160306,51,80,commit,15,27922,15910,12012,0.5698015901439725,131,108,23,0.8244274809160306,random_over
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.1467155173107899,0.1348912587025266,14,0,,,0.3695652173913043,0.5639097744360902,0.3053892215568862,1.0,0.4678899082568807,1.0,0.1278195488721804,0.2266666666666666,1.0,0.1278195488721804,0.2266666666666666,0.1975720438974794,0.7730355300014743,0.7730355300014743,0.9088595045256442,51,0,116,17,184,51,133,0.7228260869565217,167,17,commit,15,27869,15885,11984,0.5699881588862177,184,133,51,0.7228260869565217,random_over
consul,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.6527854311154614,0.3508681598135247,14,0,,,0.7336956521739131,0.7613887660327289,0.5121951219512195,0.8235294117647058,0.631578947368421,0.9117647058823528,0.6992481203007519,0.7914893617021277,0.9117647058823528,0.6992481203007519,0.7914893617021277,0.4707830418459562,0.7843874391862008,0.7843874391862008,0.9104153476600992,42,9,40,93,184,51,133,0.7228260869565217,82,102,commit,15,27869,15885,11984,0.5699881588862177,184,133,51,0.7228260869565217,random_over
