project_id,granularity,raw_row_count,row_count,bug_count,non_bug_count,exact_duplicate_rows,duplicate_candidate_rows,missing_features,missing_key_columns,inf_counts,coerced_nan_counts
caddy,file,725,693,259,434,32,58,[],[],"{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}","{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}"
compose,file,83,80,29,51,3,2,[],[],"{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}","{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}"
consul,file,159,153,58,95,6,0,[],[],"{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}","{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}"
fiber,file,713,676,220,456,37,80,[],[],"{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}","{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}"
gin,file,123,119,46,73,4,16,[],[],"{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}","{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}"
gitea,file,22922,19191,4923,14268,3731,2110,[],[],"{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}","{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}"
grafana,file,3386,2771,761,2010,615,140,[],[],"{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}","{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}"
influxdb,file,787,658,195,463,129,42,[],[],"{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}","{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}"
kubernetes,file,422,407,149,258,15,2,[],[],"{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}","{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}"
minio,file,4926,4425,1560,2865,501,796,[],[],"{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}","{'nloc': 0, 'complexity': 0, 'token_count': 0, 'method_count': 0, 'commit_count': 0, 'authors_count': 0, 'avg_method_param_count': 0, 'import_count': 0, 'cyclo_per_loc': 0, 'comment_ratio': 0, 'struct_count': 0, 'interface_count': 0, 'loop_count': 0, 'error_handling_count': 0, 'goroutine_count': 0, 'channel_count': 0, 'defer_count': 0, 'context_usage_count': 0, 'json_tag_count': 0, 'variadic_function_count': 0, 'pointer_receiver_count': 0, 'avg_method_complexity': 0, 'avg_methods_token_count': 0}"
