target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.4020608656244542,0.0414097717354519,23,0,,,0.5757575757575758,0.5172811059907834,0.6372549019607843,0.7488479262672811,0.6885593220338984,0.4043715846994535,0.2857142857142857,0.334841628959276,0.4043715846994535,0.2857142857142857,0.334841628959276,0.0379302446076874,0.5163692329590948,0.5163692329590948,0.3850628642814552,325,109,185,74,693,434,259,0.3737373737373737,510,183,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.3737373737373737,random_over
caddy,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.4352209133808898,0.0447706297250239,23,0,,,0.5974025974025974,0.5010897994768962,0.6268412438625205,0.8824884792626728,0.7330143540669857,0.3780487804878049,0.1196911196911196,0.1818181818181818,0.3780487804878049,0.1196911196911196,0.1818181818181818,0.0032647039617688,0.5198743839296835,0.5198743839296835,0.3853066600199406,383,51,228,31,693,434,259,0.3737373737373737,611,82,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.3737373737373737,random_over
caddy,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",0.4669014529444931,0.0546714945556752,23,0,,,0.3852813852813853,0.48586374392826,0.5588235294117647,0.0875576036866359,0.1513944223107569,0.3664,0.8841698841698842,0.5180995475113123,0.3664,0.8841698841698842,0.5180995475113123,-0.0459795462434379,0.5203503371706136,0.5203503371706136,0.4161201921841572,38,396,30,229,693,434,259,0.3737373737373737,68,625,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.3737373737373737,random_over
caddy,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",0.4677761369715986,0.0399547650263454,23,0,,,0.3751803751803751,0.4777992277992278,0.5081967213114754,0.0714285714285714,0.1252525252525252,0.3623417721518987,0.8841698841698842,0.5140291806958474,0.3623417721518987,0.8841698841698842,0.5140291806958474,-0.0758174836747885,0.5348335498105083,0.5348335498105083,0.4607943677551578,31,403,30,229,693,434,259,0.3737373737373737,61,632,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.3737373737373737,random_over
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.3689688567192333,0.0307186206015907,23,0,,,0.3875,0.5047329276538202,0.6666666666666666,0.0784313725490196,0.1403508771929824,0.3648648648648648,0.9310344827586208,0.5242718446601942,0.3648648648648648,0.9310344827586208,0.5242718446601942,0.0172763686897963,0.5344827586206897,0.5344827586206897,0.3782528890857325,4,47,2,27,80,51,29,0.3625,6,74,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,random_over
compose,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.4213939416976594,0.0500219682635431,23,0,,,0.425,0.5192697768762677,0.6923076923076923,0.1764705882352941,0.28125,0.373134328358209,0.8620689655172413,0.5208333333333334,0.373134328358209,0.8620689655172413,0.5208333333333334,0.0502205761927124,0.5392156862745099,0.5392156862745099,0.4465595244471443,9,42,4,25,80,51,29,0.3625,13,67,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,random_over
compose,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",0.4672264358101004,0.0565778162551893,23,0,,,0.35,0.4455713319810683,0.4545454545454545,0.0980392156862745,0.1612903225806451,0.3333333333333333,0.7931034482758621,0.4693877551020408,0.3333333333333333,0.7931034482758621,0.4693877551020408,-0.1519570665307727,0.4969574036511155,0.4969574036511155,0.3729965211276465,5,46,6,23,80,51,29,0.3625,11,69,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,random_over
compose,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",0.4693519526815485,0.0464519756043784,23,0,,,0.3625,0.4553752535496957,0.5,0.1176470588235294,0.1904761904761904,0.3382352941176471,0.7931034482758621,0.4742268041237113,0.3382352941176471,0.7931034482758621,0.4742268041237113,-0.1201558070557394,0.4574036511156186,0.4574036511156186,0.406200305081105,6,45,6,23,80,51,29,0.3625,12,68,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,random_over
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.4729951343597482,0.0465847877754488,23,0,,,0.4117647058823529,0.4927404718693284,0.6,0.1578947368421052,0.25,0.375,0.8275862068965517,0.5161290322580645,0.375,0.8275862068965517,0.5161290322580645,-0.0190519397052787,0.5689655172413792,0.5689655172413792,0.4646339102539739,15,80,10,48,153,95,58,0.3790849673202614,25,128,file,15,41003,11863,29140,0.289320293637051,153,58,95,0.3790849673202614,random_over
consul,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.4245190443807201,0.0465078397509755,23,0,,,0.5163398692810458,0.5400181488203267,0.6666666666666666,0.4421052631578947,0.5316455696202531,0.4111111111111111,0.6379310344827587,0.5,0.4111111111111111,0.6379310344827587,0.5,0.0788989567234625,0.5747731397459165,0.5747731397459165,0.445940175680476,42,53,21,37,153,95,58,0.3790849673202614,63,90,file,15,41003,11863,29140,0.289320293637051,153,58,95,0.3790849673202614,random_over
