target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.6003952838481337,0.0920634519552581,9,0,,,0.547375596455351,0.5475984253432016,0.6377952755905512,0.220708446866485,0.3279352226720647,0.528441879637263,0.8744884038199181,0.6587872559095581,0.528441879637263,0.8744884038199181,0.6587872559095581,0.1257984643974426,0.5757627011534845,0.5757627011534845,0.5523640002148874,162,572,92,641,1467,734,733,0.4996591683708248,254,1213,method,15,126560,48055,78505,0.3797013274336283,1467,733,734,0.4996591683708248,random_over
caddy,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.5678604329334559,0.1467285062130269,9,0,,,0.5460122699386503,0.546142165190271,0.5748898678414097,0.3555858310626703,0.4393939393939394,0.5330700888450148,0.7366984993178718,0.6185567010309279,0.5330700888450148,0.7366984993178718,0.6185567010309279,0.0998148902254518,0.5560358126619358,0.5560358126619358,0.5330752871286915,261,473,193,540,1467,734,733,0.4996591683708248,454,1013,method,15,126560,48055,78505,0.3797013274336283,1467,733,734,0.4996591683708248,random_over
caddy,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.5189173874188221,0.146552650068708,9,0,,,0.5814587593728698,0.5814817981420835,0.5877192982456141,0.547683923705722,0.5669957686882934,0.5759897828863346,0.6152796725784447,0.5949868073878628,0.5759897828863346,0.6152796725784447,0.5949868073878628,0.1633359133982443,0.5986158558571953,0.5986158558571953,0.5921471126909227,402,332,282,451,1467,734,733,0.4996591683708248,684,783,method,15,126560,48055,78505,0.3797013274336283,1467,733,734,0.4996591683708248,random_over
caddy,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",0.5355232137525966,0.1413130447415198,9,0,,,0.5807770961145194,0.5808182565025222,0.5922480620155038,0.5204359673024523,0.5540246555474981,0.5717761557177615,0.6412005457025921,0.6045016077170418,0.5717761557177615,0.6412005457025921,0.6045016077170418,0.1628259887204287,0.5750127318213754,0.5750127318213754,0.5598762926464,382,352,263,470,1467,734,733,0.4996591683708248,645,822,method,15,126560,48055,78505,0.3797013274336283,1467,733,734,0.4996591683708248,random_over
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5995881561380124,0.0920808116309757,9,0,,,0.5498154981549815,0.5604869527240965,0.631578947368421,0.3380281690140845,0.4403669724770642,0.517948717948718,0.7829457364341085,0.6234567901234568,0.517948717948718,0.7829457364341085,0.6234567901234568,0.1344951510128325,0.6098100229282672,0.6098100229282672,0.5930151060066942,48,94,28,101,271,142,129,0.4760147601476014,76,195,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.4760147601476014,random_over
compose,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.5745939651807802,0.1450717542970319,9,0,,,0.5608856088560885,0.5557921170433453,0.5696969696969697,0.6619718309859155,0.6123778501628665,0.5471698113207547,0.4496124031007752,0.4936170212765957,0.5471698113207547,0.4496124031007752,0.4936170212765957,0.1141949659575227,0.5906758379735779,0.5906758379735779,0.5721515286348223,94,48,71,58,271,142,129,0.4760147601476014,165,106,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.4760147601476014,random_over
compose,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.5167004535927304,0.1358786078292205,9,0,,,0.5756457564575646,0.5670378862321215,0.572972972972973,0.7464788732394366,0.6483180428134556,0.5813953488372093,0.3875968992248062,0.4651162790697674,0.5813953488372093,0.3875968992248062,0.4651162790697674,0.1438647002940923,0.591931433562616,0.591931433562616,0.5902703881231633,106,36,79,50,271,142,129,0.4760147601476014,185,86,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.4760147601476014,random_over
compose,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",0.5417169134570561,0.1378124625296215,9,0,,,0.5645756457564576,0.5571841904138006,0.5674157303370787,0.7112676056338029,0.63125,0.5591397849462365,0.4031007751937984,0.4684684684684684,0.5591397849462365,0.4031007751937984,0.4684684684684684,0.120307727797326,0.5946336936346763,0.5946336936346763,0.5726797861524768,101,41,77,52,271,142,129,0.4760147601476014,178,93,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.4760147601476014,random_over
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5974996795155022,0.0935999210927271,9,0,,,0.5754716981132075,0.5290458937198068,0.532608695652174,0.1775362318840579,0.266304347826087,0.5827205882352942,0.8805555555555555,0.7013274336283186,0.5827205882352942,0.8805555555555555,0.7013274336283186,0.0818515989162926,0.5885366344605475,0.5885366344605475,0.648675046020845,49,227,43,317,636,276,360,0.5660377358490566,92,544,method,15,127391,48428,78963,0.3801524440502076,636,360,276,0.5660377358490566,random_over
consul,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.5650715192615595,0.1380774177015238,9,0,,,0.6147798742138365,0.6140700483091788,0.5508196721311476,0.6086956521739131,0.5783132530120482,0.6737160120845922,0.6194444444444445,0.6454413892908828,0.6737160120845922,0.6194444444444445,0.6454413892908828,0.2263307153067118,0.6056964573268921,0.6056964573268921,0.6337404626922263,168,108,137,223,636,276,360,0.5660377358490566,305,331,method,15,127391,48428,78963,0.3801524440502076,636,360,276,0.5660377358490566,random_over
