target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.15678542595234354,0.14004011200128585,14,0,,,0.43434343434343436,0.5112219451371571,0.4269005847953216,1.0,0.5983606557377049,1.0,0.022443890274314215,0.04390243902439024,1.0,0.022443890274314215,0.04390243902439024,0.09788416564075504,0.6424691695418987,0.6424691695418987,0.7559740465361622,292,0,392,9,693,292,401,0.5786435786435786,684,9,commit,15,27360,15617,11743,0.5707967836257309,693,401,292,0.5786435786435786,smote
caddy,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.6632436569654568,0.35384081056989997,14,0,,,0.6363636363636364,0.6676331431694735,0.5429184549356223,0.8664383561643836,0.6675461741424802,0.8281938325991189,0.4688279301745636,0.5987261146496815,0.8281938325991189,0.4688279301745636,0.5987261146496815,0.35273423204521026,0.7455505072934103,0.7455505072934103,0.8087263950155595,253,39,213,188,693,292,401,0.5786435786435786,466,227,commit,15,27360,15617,11743,0.5707967836257309,693,401,292,0.5786435786435786,smote
caddy,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.7655659620564751,0.3628518766996074,14,0,,,0.6782106782106783,0.6819167833840057,0.6005830903790087,0.7054794520547946,0.6488188976377953,0.7542857142857143,0.6583541147132169,0.7030625832223701,0.7542857142857143,0.6583541147132169,0.7030625832223701,0.3593232290513194,0.7519130256550405,0.7519130256550405,0.8296922207833011,206,86,137,264,693,292,401,0.5786435786435786,343,350,commit,15,27360,15617,11743,0.5707967836257309,693,401,292,0.5786435786435786,smote
caddy,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 300, ""model__subsample"": 1.0}",0.7583681828770242,0.3710174395048602,14,0,,,0.6810966810966811,0.6895304546852048,0.5977961432506887,0.7431506849315068,0.6625954198473283,0.7727272727272727,0.6359102244389028,0.6976744186046512,0.7727272727272727,0.6359102244389028,0.6976744186046512,0.3747678521480153,0.7459689816554503,0.7459689816554503,0.8195201252816534,217,75,146,255,693,292,401,0.5786435786435786,363,330,commit,15,27360,15617,11743,0.5707967836257309,693,401,292,0.5786435786435786,smote
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.15777184442539977,0.1429863711930258,14,0,,,0.1984732824427481,0.5138888888888888,0.1796875,1.0,0.304635761589404,1.0,0.027777777777777776,0.05405405405405406,1.0,0.027777777777777776,0.05405405405405406,0.07064927065755489,0.6127214170692432,0.6127214170692432,0.8868717061461846,23,0,105,3,131,23,108,0.8244274809160306,128,3,commit,15,27922,15910,12012,0.5698015901439725,131,108,23,0.8244274809160306,smote
compose,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.6663138136120461,0.3674274114704847,14,0,,,0.48091603053435117,0.5825281803542672,0.21518987341772153,0.7391304347826086,0.3333333333333333,0.8846153846153846,0.42592592592592593,0.575,0.8846153846153846,0.42592592592592593,0.575,0.12834910467362343,0.6622383252818036,0.6622383252818036,0.9035770909246117,17,6,62,46,131,23,108,0.8244274809160306,79,52,commit,15,27922,15910,12012,0.5698015901439725,131,108,23,0.8244274809160306,smote
compose,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.7618598122386459,0.3738312967625669,14,0,,,0.6717557251908397,0.5956119162640902,0.2619047619047619,0.4782608695652174,0.3384615384615385,0.8651685393258427,0.7129629629629629,0.7817258883248731,0.8651685393258427,0.7129629629629629,0.7817258883248731,0.1558827882523409,0.6859903381642511,0.6859903381642511,0.9107920632162381,11,12,31,77,131,23,108,0.8244274809160306,42,89,commit,15,27922,15910,12012,0.5698015901439725,131,108,23,0.8244274809160306,smote
compose,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 300, ""model__subsample"": 0.8}",0.7575721660283077,0.3930753326895705,14,0,,,0.6641221374045801,0.6594202898550725,0.29411764705882354,0.6521739130434783,0.40540540540540543,0.9,0.6666666666666666,0.7659574468085106,0.9,0.6666666666666666,0.7659574468085106,0.24878220016754535,0.6803542673107891,0.6803542673107891,0.9096175859491284,15,8,36,72,131,23,108,0.8244274809160306,51,80,commit,15,27922,15910,12012,0.5698015901439725,131,108,23,0.8244274809160306,smote
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.14252875812371973,0.1320891833954057,14,0,,,0.358695652173913,0.556390977443609,0.30177514792899407,1.0,0.4636363636363636,1.0,0.11278195488721804,0.20270270270270271,1.0,0.11278195488721804,0.20270270270270271,0.18448520569360394,0.7705292643373138,0.7705292643373138,0.9066513954387496,51,0,118,15,184,51,133,0.7228260869565217,169,15,commit,15,27869,15885,11984,0.5699881588862177,184,133,51,0.7228260869565217,smote
consul,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.6536532123237005,0.34807217828181003,14,0,,,0.7282608695652174,0.7515848444641015,0.5061728395061729,0.803921568627451,0.6212121212121212,0.9029126213592233,0.6992481203007519,0.788135593220339,0.9029126213592233,0.6992481203007519,0.788135593220339,0.45369527668765947,0.77937490785788,0.77937490785788,0.907082346773147,41,10,40,93,184,51,133,0.7228260869565217,81,103,commit,15,27869,15885,11984,0.5699881588862177,184,133,51,0.7228260869565217,smote
