target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.4929458715484486,0.043098545562807684,23,0,,,0.43867243867243866,0.5090297670942832,0.6451612903225806,0.2304147465437788,0.3395585738539898,0.379182156133829,0.7876447876447876,0.5119196988707654,0.379182156133829,0.7876447876447876,0.5119196988707654,0.02096738666470065,0.5164137145703966,0.5164137145703966,0.3831989796309631,100,334,55,204,693,434,259,0.37373737373737376,155,538,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.37373737373737376,smote
caddy,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.4386765403225077,0.06376731377732091,23,0,,,0.5930735930735931,0.49451986548760746,0.6233766233766234,0.8847926267281107,0.7314285714285714,0.35064935064935066,0.10424710424710425,0.16071428571428573,0.35064935064935066,0.10424710424710425,0.16071428571428573,-0.016872531295928358,0.5307768268597762,0.5307768268597762,0.39503901937216435,384,50,232,27,693,434,259,0.37373737373737376,616,77,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.37373737373737376,smote
caddy,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.3493635118135546,0.022534254966613137,23,0,,,0.4155844155844156,0.47814173620625233,0.5847953216374269,0.2304147465437788,0.3305785123966942,0.36015325670498083,0.7258687258687259,0.4814340588988476,0.36015325670498083,0.7258687258687259,0.4814340588988476,-0.04905769046362629,0.5188602031920004,0.5188602031920004,0.4409295971681574,100,334,71,188,693,434,259,0.37373737373737376,171,522,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.37373737373737376,smote
caddy,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",0.29438656984516015,0.008102183388073262,23,0,,,0.4963924963924964,0.5068501681404907,0.6332288401253918,0.46543778801843316,0.5365205843293492,0.37967914438502676,0.5482625482625483,0.4486571879936809,0.37967914438502676,0.5482625482625483,0.4486571879936809,0.013298260356243378,0.5057915057915058,0.5057915057915058,0.44647001389696317,202,232,117,142,693,434,259,0.37373737373737376,319,374,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.37373737373737376,smote
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.49193280989111343,0.03573699802677459,23,0,,,0.4,0.5294117647058824,1.0,0.058823529411764705,0.1111111111111111,0.37662337662337664,1.0,0.5471698113207547,0.37662337662337664,1.0,0.5471698113207547,0.14884326075426904,0.5202839756592292,0.5202839756592292,0.3675061326377742,3,48,0,29,80,51,29,0.3625,3,77,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,smote
compose,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.426160874905997,0.055389597009902716,23,0,,,0.425,0.5267072346179851,0.7272727272727273,0.1568627450980392,0.25806451612903225,0.37681159420289856,0.896551724137931,0.5306122448979592,0.37681159420289856,0.896551724137931,0.5306122448979592,0.07456278419832948,0.5398918187964841,0.5398918187964841,0.4396110131351967,8,43,3,26,80,51,29,0.3625,11,69,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,smote
compose,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.3659776269566058,0.013913592581225764,23,0,,,0.4375,0.4621365787694388,0.59375,0.37254901960784315,0.4578313253012048,0.3333333333333333,0.5517241379310345,0.4155844155844156,0.3333333333333333,0.5517241379310345,0.4155844155844156,-0.07430847145148957,0.4851250845165652,0.4851250845165652,0.4182367413232894,19,32,13,16,80,51,29,0.3625,32,48,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,smote
compose,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",0.3181178570201432,0.015201565834143005,23,0,,,0.525,0.5010141987829615,0.6382978723404256,0.5882352941176471,0.6122448979591837,0.36363636363636365,0.41379310344827586,0.3870967741935484,0.36363636363636365,0.41379310344827586,0.3870967741935484,0.0019807573165937548,0.46720757268424606,0.46720757268424606,0.3703025113770041,30,21,17,12,80,51,29,0.3625,47,33,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,smote
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.460587865012718,0.037245169913409315,23,0,,,0.4444444444444444,0.5056261343012705,0.631578947368421,0.25263157894736843,0.3609022556390977,0.3826086956521739,0.7586206896551724,0.5086705202312138,0.3826086956521739,0.7586206896551724,0.5086705202312138,0.012634997827649135,0.5660617059891107,0.5660617059891107,0.4644436442196222,24,71,14,44,153,95,58,0.3790849673202614,38,115,file,15,41003,11863,29140,0.289320293637051,153,58,95,0.3790849673202614,smote
consul,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.42084801897536717,0.05145356047932104,23,0,,,0.5490196078431373,0.5663339382940109,0.6911764705882353,0.49473684210526314,0.5766871165644172,0.43529411764705883,0.6379310344827587,0.5174825174825175,0.43529411764705883,0.6379310344827587,0.5174825174825175,0.12953217512268725,0.5727767695099818,0.5727767695099818,0.44106581082034796,47,48,21,37,153,95,58,0.3790849673202614,68,85,file,15,41003,11863,29140,0.289320293637051,153,58,95,0.3790849673202614,smote
