project_id,granularity,raw_row_count,row_count,bug_count,non_bug_count,exact_duplicate_rows,duplicate_candidate_rows,missing_features,missing_key_columns,inf_counts,coerced_nan_counts
caddy,method,1565,1467,733,734,98,597,[],"['method_signature', 'commit_timestamp']","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}"
compose,method,286,271,129,142,15,111,[],"['method_signature', 'commit_timestamp']","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}"
consul,method,664,636,360,276,28,245,[],"['method_signature', 'commit_timestamp']","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}"
fiber,method,2546,2008,1187,821,538,1035,[],"['method_signature', 'commit_timestamp']","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}"
gin,method,190,176,72,104,14,57,[],"['method_signature', 'commit_timestamp']","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}"
gitea,method,79214,54137,20338,33799,25077,15858,[],"['method_signature', 'commit_timestamp']","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}"
grafana,method,14197,11766,4058,7708,2431,3889,[],"['method_signature', 'commit_timestamp']","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}"
influxdb,method,4605,2851,1598,1253,1754,1541,[],"['method_signature', 'commit_timestamp']","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}"
kubernetes,method,1319,1215,642,573,104,541,[],"['method_signature', 'commit_timestamp']","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}"
minio,method,16091,13340,7456,5884,2751,6703,[],"['method_signature', 'commit_timestamp']","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}","{'cyclomatic_complexity': 0, 'nloc': 0, 'token_count': 0, 'parameter_count': 0, 'defer_count': 0, 'channel_count': 0, 'goroutine_count': 0, 'error_handling_count': 0, 'loop_count': 0}"
