target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5995136703409873,0.0839700187107726,9,0,,,0.5528289025221541,0.5530461579638007,0.6466165413533834,0.23433242506811988,0.344,0.5320566194837635,0.8717598908594816,0.6608066184074457,0.5320566194837635,0.8717598908594816,0.6608066184074457,0.1376802434168307,0.5762403767875663,0.5762403767875663,0.5544686898097001,172,562,94,639,1467,734,733,0.4996591683708248,266,1201,method,15,126560,48055,78505,0.37970132743362833,1467,733,734,0.4996591683708248,smote
caddy,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.5656281277240207,0.14515983822250095,9,0,,,0.5494205862304021,0.5495425837605153,0.5774946921443737,0.37057220708446864,0.45145228215767635,0.536144578313253,0.7285129604365621,0.6176980913823019,0.536144578313253,0.7285129604365621,0.6176980913823019,0.1061129876606142,0.5575301753459896,0.5575301753459896,0.5336534742478157,272,462,199,534,1467,734,733,0.4996591683708248,471,996,method,15,126560,48055,78505,0.37970132743362833,1467,733,734,0.4996591683708248,smote
caddy,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.514884858115238,0.14309248123240442,9,0,,,0.5835037491479209,0.5835253948723287,0.5895196506550219,0.5517711171662125,0.5700211118930331,0.5782051282051283,0.6152796725784447,0.5961665565102445,0.5782051282051283,0.6152796725784447,0.5961665565102445,0.1673874450738049,0.5949868221002115,0.5949868221002115,0.5892353043221497,405,329,282,451,1467,734,733,0.4996591683708248,687,780,method,15,126560,48055,78505,0.37970132743362833,1467,733,734,0.4996591683708248,smote
caddy,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",0.5397160316980756,0.143980965917692,9,0,,,0.5787321063394683,0.5787848824025783,0.5935483870967742,0.5013623978201635,0.5435745937961596,0.5678866587957497,0.6562073669849932,0.6088607594936709,0.5678866587957497,0.6562073669849932,0.6088607594936709,0.1594906963198627,0.5739031117686637,0.5739031117686637,0.5593072412164903,368,366,252,481,1467,734,733,0.4996591683708248,620,847,method,15,126560,48055,78505,0.37970132743362833,1467,733,734,0.4996591683708248,smote
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.6033368585680567,0.09021223102742806,9,0,,,0.5424354243542435,0.5594770171416094,0.725,0.20422535211267606,0.31868131868131866,0.5108225108225108,0.9147286821705426,0.6555555555555556,0.5108225108225108,0.9147286821705426,0.6555555555555556,0.1674874294899043,0.6008570804672999,0.6008570804672999,0.5485621272944121,29,113,11,118,271,142,129,0.47601476014760147,40,231,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.47601476014760147,smote
compose,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.5753700325791598,0.1462352286235886,9,0,,,0.5571955719557196,0.5526258325144666,0.5679012345679012,0.647887323943662,0.6052631578947368,0.5412844036697247,0.4573643410852713,0.4957983193277311,0.5412844036697247,0.4573643410852713,0.4957983193277311,0.10720060737587685,0.5907304290861447,0.5907304290861447,0.5729779343670516,92,50,70,59,271,142,129,0.47601476014760147,162,109,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.47601476014760147,smote
compose,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.5225113751041685,0.1477310910070934,9,0,,,0.5682656826568265,0.5603504749426793,0.569060773480663,0.7253521126760564,0.6377708978328174,0.5666666666666667,0.3953488372093023,0.4657534246575342,0.5666666666666667,0.3953488372093023,0.4657534246575342,0.12799387075673135,0.5905393601921607,0.5905393601921607,0.5967177288897264,103,39,78,51,271,142,129,0.47601476014760147,181,90,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.47601476014760147,smote
compose,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",0.5479347556243026,0.14763130756437678,9,0,,,0.5682656826568265,0.5610601594060487,0.5706214689265536,0.7112676056338029,0.6332288401253918,0.5638297872340425,0.4108527131782946,0.47533632286995514,0.5638297872340425,0.4108527131782946,0.47533632286995514,0.12813754433037566,0.5936783491647559,0.5936783491647559,0.5758366497268338,101,41,76,53,271,142,129,0.47601476014760147,177,94,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.47601476014760147,smote
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5978203503748211,0.09006572635189958,9,0,,,0.5723270440251572,0.5254227053140097,0.5222222222222223,0.17028985507246377,0.2568306010928962,0.5805860805860806,0.8805555555555555,0.6997792494481236,0.5805860805860806,0.8805555555555555,0.6997792494481236,0.07230027919903151,0.5989331723027376,0.5989331723027376,0.670972112110512,47,229,43,317,636,276,360,0.5660377358490566,90,546,method,15,127391,48428,78963,0.38015244405020765,636,360,276,0.5660377358490566,smote
consul,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.5638103794163042,0.1365118027895811,9,0,,,0.6147798742138365,0.6144927536231884,0.5504885993485342,0.6123188405797102,0.5797598627787307,0.6747720364741642,0.6166666666666667,0.6444121915820029,0.6747720364741642,0.6166666666666667,0.6444121915820029,0.22711543531099318,0.6052787842190016,0.6052787842190016,0.6334231955028214,169,107,138,222,636,276,360,0.5660377358490566,307,329,method,15,127391,48428,78963,0.38015244405020765,636,360,276,0.5660377358490566,smote
